stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pgc,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.82,14.13,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,4.21,0,0,0,1.02,5.83,0,0.81,0,0
 24-34,1.29,1.91,0,4.17,0.62,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0.69,93.3,0,1.06,0,0,24.7,0,0,0,0
 36-46,0,0,0,11.55,0,0,4.68,0,0,0,0,0,0,0,0,1.21,1.26,0,0,334.85,6.21,1.69,0,0,76.44,0,1.05,0,0
 48-58,1.1,1.33,0,61.5,0,0,18.9,0,0.87,0,0,0,0,0,5.32,0.77,0,0,0.4,512.29,0,0,0,0,48.05,0,0,0,0
 60-70,0.62,0.62,0,282.51,0,0,20.62,1.26,0,0,0,6.5,0,0,0,6.14,0,0.76,0,1104.41,0.8,0.62,0,0,49.92,0,0,0,0
 72-82,4.3,3.79,2.91,974.28,0.68,1.34,36.7,0.64,0.68,0,0,0,0.68,0,1.89,17.17,1.53,2.05,0,1561.33,0,0,0,0,60.02,0,1.19,1.6,11
 84-94,5.51,2.67,4.02,1119.01,0,0,27.31,1.12,0,0,0,0,0,0,0,9.29,0,0,0.83,914.27,0,9.47,0,0,29.29,0,0.65,0.75,18.05
 96-106,5.12,7.43,19.21,1536.64,2.17,0,27.28,1.52,0,0,0,0,1.14,2.16,0.67,9.34,0,0,0,745.12,1.16,0,1.35,0,17.25,2.52,6.75,0,2.47
108-118,2.49,27.59,9.73,1420.51,1.01,0,45.21,0.91,0,0.85,0,0,0,0.97,0,20.31,0,0,1.74,1230.47,0,1.02,0,0,6.94,1.42,0,0,0
120,4.41,11.38,0,1441.59,0,0,35.98,0,0,0,0,0,0,0,0,21.98,0,0,0,1726.42,0,1.05,0,0,19.57,0,0,17.64,0
