stage,endocrine.pancreas,eye,fast.muscle,gut,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,slow.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,5.73,0,0
 14-21,0,0,0,0,0,0,1.11,0,0,0,0,0
 24-34,0,0,0,0,0.99,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,7.9,0,0,0,0
 60-70,0,0,0,0,0.6,0,0,0,0,0,0,0
 72-82,10.11,1.54,0,4.26,0,0,0,2.77,0,0,0,0
 84-94,3.18,0,0,10.16,3.21,1.94,0,4.77,0,0,0,0
 96-106,20.83,32.86,0.59,35.91,0,0,0,12.59,0,0,1.92,0.8
108-118,5.84,16.4,0,15.31,1.7,0,0.5,5.5,1.41,0,0,0
120,24.98,9.38,0,20.95,0,0,0,0,0,0,0,0
