stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1.03,2.84,2.66,0,0,0,0,0,0,4.25,0,2.62,18.81,0,0,0,0,1.34,3.69,8.96,0,0
 24-34,1.41,0,2.23,0,0,0.63,0,0,0,7.07,0,7.45,39.89,0,0,0,0,0,0.65,9.56,7.37,0
 36-46,0,0,2.08,0,0,1.02,0,0,0.77,21.46,0,2,39.7,0.66,1.48,0,0,0,0,15.8,0.65,0
 48-58,0,0,2.97,0,0,3.42,0,0,0,11.28,0,0.84,21.32,0.6,0.39,0,0,0,0,3.43,0,0
 60-70,0,0,16.82,2.35,0,4.48,0,0,0,24.22,0.85,2.09,10.36,0,0,0,0,0,0,0,0.68,0
 72-82,0,1.39,3.51,0,1.27,4.67,0,0,0.92,31.5,0,0.55,8.24,0,0,0,0.53,0,0,0.92,0,2.27
 84-94,0,1.49,2.79,0,0,7.79,0,0.86,0,45.26,2.03,0.87,4.95,0,0.9,0,0,0,0,1.36,14.04,0
 96-106,0,1.56,0.6,0,0,7.1,1.57,0,0,46.18,0,0,4.73,0,0,0,0,0,0,0,0,3.11
108-118,0,0.94,0.55,0.68,0,3.75,0,0,0,23.3,0,2.52,1.69,0,0,0,0,0,0,0,0,0.96
120,0,9.22,0,0,0,0,0,0,0,62.33,0,4.8,2.35,0,1.43,2.76,0,0,0,0,0,0
