stage,epidermis,eye,glial,neural,otic,spinal.cord
 24-34,0,0,0,0,0,1.04
 36-46,2.73,0,0,0,0,0.56
 48-58,0,0.51,0,3.84,2.29,0
 60-70,0,11.32,6.3,0,0,0
 72-82,0,4.11,0.93,0,0,1.35
 96-106,0,1.39,0,0,0,3.74
108-118,0,0,0,1.83,0,0
