stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,128.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,77.18,145.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,91.68,5.08,0,57.93,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.03,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,79.86,0,0,7.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.5,0,1.06,0,1.07,0,1.01,0,0,0,0,0,0,3.69,0,0,37.73,1.38,0,2.61,0,0,1.83,4.06,32.24,0,0,0,0
 24-34,0,0,0,0,2.13,0.68,1.87,1.28,0,0,0.9,0,0.79,0,0,0.7,0,7.25,0,15.26,60.62,0.95,0,0,0,0,2.08,8.65,8.5,0,0,1.46,0
 36-46,0,0,0,0,0,0,0,9.69,4.76,0,1.14,0,0,0,0,0,0,7.75,0,3.12,32.01,0,0,0,2.77,0,36.05,0,3.32,0,0,0,0
 48-58,0,0,0,0,0,0,4.6,21.8,0,1.2,1.73,0,0,0,0,0,0,32.18,0.77,11.79,56.71,0,0,0,0,0,5.07,0,2.57,0,0,0,0
 60-70,0,0,0,0,0.64,0,2.15,23.31,0,0.89,2.36,0,0,0.75,0,0,1.34,64.64,0,9.07,13.14,0,0,0,0,0,6.35,0,9.02,0,0,1.83,0
 72-82,0,0,0.5,0,0,0.49,8.62,9.56,0,1.8,6.07,2.17,1.12,0,0,0,0,94.93,0,3.02,35.26,0,0,0,0,0.53,5.56,0,1.56,0,0,0,0
 84-94,0,0,0,0,1.34,0,13.63,9.89,0,0,0,0,1.45,0,0,0,1.81,124.37,0,2.6,14.96,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.62,0,6.16,5.75,0,1.11,4.67,0,0,1.18,0.63,0,6.67,104.98,0,2.68,26.21,0,1.31,0,0,0,2.02,0,0,0,3.81,0,0
108-118,0,0,0,0,1.02,0,3.89,12.06,0.45,0,1.34,0,2.29,0,0,0,0.44,72.11,2.19,4.41,13.18,0,0,0,0,0,3.23,0,1.58,1.81,0,5.48,1.79
120,0,0,0,0,0,0,12.96,16.74,0,2.81,0,0,0,0,0,0,0,122.88,0,4.18,18.52,0,0,0,0,0,0,0,0,0,5.29,0,0
