stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,8.2,0,0,0,0,0,0
 10-12,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,29.41,0,0,0,0,0,0,0,0,0
 14-21,0,2.62,1.91,1.83,0,0,0,0,0,0,0,0,0,0.8,10.27,0,0,0.91,0,2.97,1.27,1.05,6.86,0
 24-34,0,6.18,0,0,0,0,0,1.57,0,0,0,0,0,0,15.23,1.63,0.81,0,0,0,0,0,3.18,0
 36-46,0,0,0,0.68,0,0,0,0.64,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,4.97,0
 48-58,0,0,0,2.04,0.84,0,0,0,0,0,0,0,0,0,2.72,0,0,0,7.57,0,0,0,2.28,0
 60-70,0,0,0,38.88,0,0,0,8.04,0,0.76,0,6.83,0,0,70.48,0,0,0,0,0,0,0,3.24,0
 72-82,0,0,0,4.59,0,0,0,4.76,0.56,0,0.51,4.3,3.26,0.5,10.44,0,0,0,0,0,0,0,1.64,0
 84-94,0,0,0,0,0,0,0,0,3.91,0,0,2.1,0,1.3,10.84,1.78,5.98,0,4.59,0,0,0,0.63,0
 96-106,0,0,5.88,16.09,0,0.63,0,2.08,5.42,0,0,0.6,0,0,8.63,0,0,0,6.67,0,0,0,3.24,0
108-118,0.49,0,0,2.84,0,0,0.44,6.15,8.42,0,0.41,4.21,0,0.52,19.46,0,1.83,0,4.06,0,0,0,0,1.3
120,0,2.17,0,1.24,0,0,0,0,13.74,0,0,0,0,0,16.63,0,0,0,10.24,0,0,0,0,0
