stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,69.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,38.2,0,3.78,0,0,45.92,0,0,0,0,0,15.39,0,0,0,0,0,0,0,0,295.6,13.62,0,0,67.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.7,0,0,0,0,29.11,0,0,0,0,0,9.18,0,0,0,3.73,0,0,0,0,410.01,16.06,0,0,156.1,0,0,12.5,0,17.25,0,0,0,0,0,0
 14-21,0,0,0,3.84,4.46,0.99,4.14,0,0,0,0,2.11,0,0,0,0,0,3.16,0,0,10.26,63.73,0,0,5.91,0.98,0,29.5,0.89,2.45,249.73,13.6,0,0,0,0,0
 24-34,0,0,0,0.68,2.1,0,8.84,0,0,0,0,0,0,0.8,0,0.78,0,2.46,0,0,3.06,216,0,1.03,7.24,0,1.46,0,0,0,1.52,25.8,0,0,2.17,0,2.13
 36-46,0,0,0,0,7.12,0,45.35,1.93,0,0,0,0,0,0,0,0,0,8.69,0,0,5.78,380.44,0,0,1.13,0,1.25,0,0,0,0,65,0,0,0.73,0,0
 48-58,0,0,0,0,0.5,0,76.83,0.55,0.92,0,4.95,0,1.18,0.49,0,0,0,22.37,0,0,2.69,307.74,0,0,8.17,0,0,0,0,0,0,44.31,0,0,0,0,0
 60-70,0,0,1.34,0,0.57,0,205.73,0.58,0,0,8.13,0,0,1.38,0.62,0,0,33.62,0,5.65,0.75,220.02,0,0,0,0,0,0,0,0,0,25.81,0,0,0,0,0
 72-82,0,0,0.56,0,3.04,0.84,134.93,0,0,0,5.87,0.61,0,0,0,2.38,0,32.86,0,0,2.35,110.1,0,4.5,0,0,0,0,0,0,0,19.99,0,0,1.37,0.71,0
 84-94,0,0,0,0,2.35,1.43,61.98,0.91,0,5.28,1.77,1.51,3.67,2.59,0,0.81,0,71.97,0,0,0.56,65.92,0,0,1.85,0,0,0,0,0.63,0,13.03,0,1.31,0,3.33,0
 96-106,0,0,0,0,0,0,61.71,0,0,0,10.51,0.96,0,0,1.37,0,0,35.52,0,0,0,84.92,0,0,0.93,0,11.87,0,0,0,0,15.27,0,0,1.09,0,0
108-118,0,0,0,0,1.04,1.4,41.82,0,0,0,3.9,0,0,0,0,0,2.84,36.6,1.25,3.31,1.3,56.84,0,0,5.22,0,3.25,0,0.81,0,0,8.06,0,0,0,0,0
120,0,0,0,0,8.91,1.14,43.56,0,0,1.04,13.44,2.24,0,7.16,0,0,1.51,76.31,0,0,11.52,116.95,0,0,0,0,6.12,0,0,0,0,0,2.83,0,3.73,0,0
