stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,235.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5748.79,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,763.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.74,0,0,0,0,0,16025.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.41,41.15,0,32.45,0,0,0,99.52,0,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,1054.45,30.18,0,0,184.35,0,5003.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.99,0,26.97,0,0,0,41.22,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,3.87,1064.13,15.34,0,0,171.1,0,1307.27,11.92,0,45.37,0,5.74,0,0,0,0,0,0
 14-21,0,0,0,0,141.02,6.79,0,6.59,0,0,0,4.74,0,5.79,0,405.78,0,0,4.42,0,13.69,64.56,0,15.76,131.56,8.97,0,1.19,0.82,0,5870.44,0,12.99,2.09,0,5.81,25.76,0,0,0,0,0
 24-34,0,0,0,0,335.86,0,0,3.56,0,10.16,0,0,0,46,0,671.65,0,1.85,1.61,0,6.47,75.43,0,0,250.02,0,23.63,4.88,0,0,730.88,0,0,4.9,10.79,3.36,13.28,0,0,5.42,0,0
 36-46,0,0,0,0.96,401.25,0,0,6.18,0,10.09,9.21,3.65,0,72.22,0,304.05,0,10.71,8.48,0,2.17,40.93,0,0,1505.95,0,12.38,1.91,0,0,318.62,0,0,2.69,0,0,11.74,0,0,1.66,0,0
 48-58,0,0,0,0,527.32,0.78,0,10.37,0,3.61,0,2.19,0,337.19,0.53,84,0,2.92,0,0,4.02,13.01,0,0,1485.57,0,2.05,0.48,0,0,94.14,0,0,0,0,0,15.35,0,0,1.24,0,2.65
 60-70,0,0,0,0,951,0.57,0,24.66,0,1.24,0,2.86,6.47,337.79,1.55,123.76,0,8.41,0,0,15.44,13.74,0,0.6,915.6,0,0,0,0,0,52.38,0,0,0,0,0,10.64,17.24,0,0,0,1.77
 72-82,0,0,0,0,1680.13,7.64,0,61.11,0,2.3,0.57,10.51,112.17,154.16,5.65,129.72,0,3.07,11,0,12.5,3.66,0.78,2.7,900.47,0,1.42,0.76,0,0,30.2,0,0,0,0,0,0,127.81,0.85,3.73,0,9.71
 84-94,0,0,0,0,4402.23,18.79,0,32.27,0,23.34,3.42,9.41,254.48,231.2,0.58,261.02,0,8.1,0,6.93,15.51,18.24,3.9,5,1249.42,0,5.6,2.61,0,0,149.01,0,0,4.19,0,0,5.98,520.9,3.55,2.79,0,5.83
 96-106,0,0,2.62,0,6473.49,35.2,0,156.03,1.46,14.6,0,25.55,998.91,38.9,2.72,300.08,0,15.67,70.27,0,41.79,17.8,22.8,2.32,977.74,4.49,21.17,0,0,4.29,142.95,0,0,0.61,0,0,12.7,964.92,2.74,1.58,2.24,5.42
108-118,0,0,1.03,0,8290.66,6.32,4.71,126.99,0,20.86,6.38,32.98,1542.34,5.48,14.08,446.38,0.63,8.42,8.54,0,35.04,29.67,0.5,2.91,823.2,0.96,17.33,6.07,0,0,120.59,0,0,0,0,0,2.5,1317.04,0.41,4.71,1.09,0.51
120,0,0,0,0,8721.06,10.84,1.23,61.54,0,41.13,0,19.56,642.45,0,0,311.48,0,15.57,0,0,53.77,65.82,0,9.55,835.9,0,4.54,0,0,2.76,156.36,0,0,5.21,0,0,2.78,573.28,12.76,13.47,0,67.07
