stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,liver,mesenchyme,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,vasculature
  3-4,21.51,303.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,266.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0
  7-9,8,0,4.2,0,0,0,0,18.45,0,0,0,0,186.92,3.28,76,0,0,6.96,0,0
 10-12,0,0,0,0,4.73,0,0,4.77,0,0,0,0,176.34,0,70.57,0,0,0,8.7,0
 14-21,0,0,0,32.9,0,0,0,0,0.96,1.51,9.92,2.3,0,0,0,0,0,0,0,3.52
 24-34,0,0,0,33.65,0,0,0,3.09,2.62,4.33,0,1.05,1.09,0,0,0,0,0,0,28.65
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.42
 60-70,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.65,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,1.21
 96-106,0,0,0,1.27,0,0,1.05,0,0,5.78,0,0,0,0,0,1.32,0,0,0,6.85
108-118,0,0,0,0,0,0,0,0,0,4.03,0,0.78,0,0,0,0,0,0,0,10.73
120,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,11.49
