stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.71,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,36.15,0,0,0,4.69,0,0,0,0,0,0,0
 14-21,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4.96,1.13,0,0,0,1.54,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,1.2,29.79,0,0,2.33,0,5.6,2.9,0,0,2.27,0,0
 36-46,0,0,0,0,0,4.21,0,0,0,3.53,0,0,0,0,0,4.32,0,0,1.79,29.87,0.56,0,0,0,0,7.52,0,0,0,0,0
 48-58,0,0,0,2.34,0,7.25,0,0,0,6.77,0.39,0,0,0,0,2.01,0,0,0,21.27,0,0,0,0,0,3.39,0,0,12.36,0,1.25
 60-70,0,0,0,0,0,36.53,0,0,0,0.93,0,0,1.28,0,1.56,3.44,0.58,0.6,3.54,11.25,0,1.08,0,0,3.71,7.71,0,0,0,0,0
 72-82,0,0.68,0,0,1.84,17.45,0,0,0,5.64,0,0,0,0,0,9.79,1.8,0,0,25.31,0,0,0.56,0,7.12,5.6,0,0,0.73,0,0
 84-94,0,0,0,5.48,3.62,8.17,0.79,0,0,0.67,0,0,0,0,0,1.61,0,0,0,18.12,0,0,0,0,7.01,0,0,0,0.63,0.6,0
 96-106,0,0,0,0,9.14,14.89,0,0,0,3.34,0,0,0,0,0,18.27,0,0,0,24.36,0,0,0,0,3.42,3.2,0,0,2.1,0,0
108-118,0,0,0,0.51,0.8,7.82,0,0,0.88,5.87,0.7,0,0,0.41,0,11.87,0,0,1.03,23.2,0,0,0.99,0,7.93,0,0.43,1.16,1.55,6.2,0
120,0,0,0,3.25,0,3.55,0,3.34,0,16.03,3.04,0,0,0,0,7.36,0,0,0,28.15,0,0,0,0,4.43,0,0,0,1.67,0,0
