stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,notochord,olfactory,otic,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,36.99,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.01,3.62,0,0,0,0,0
 10-12,0,0,0,0,0,4.18,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.09,0,0,0.97,0,0,0
 24-34,0,0,0,0,0,3.12,0,1.72,0,0,0,0
 36-46,0,0,1.43,0,0,7.19,0,0,0,2.22,0,0
 48-58,0,0,10.5,0,0,3.81,0,0,0,1.95,0,0
 60-70,0,0,57.5,1.03,1.55,4.29,0,0,0,0,0,0
 72-82,0,0,33.17,0.52,1.45,11.42,0,0,0,0,0,2.27
 84-94,0,0,18.82,2.15,0,5.49,0,0,0,3.03,0.64,0
 96-106,0,1.32,42.88,0,2.25,1.72,0,0,0,0,0,0
108-118,0,0,79.46,0.91,1.22,3.8,0,0,0.44,0,0,0
120,0,3.94,49.47,5.79,0,17.55,0,0,0,0,0,0
