stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  7-9,3.5,0,0,4.85,0,0,0,0,13.29,0,0,0,0,0
 10-12,0,0,0,12.75,0,0,0,0,29.84,0,0,21.43,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.86,0,4.68,1.22
 24-34,0,1.16,0,0,0,0,0,0,1.35,1.57,0,0,7.29,0
 36-46,0,9.6,0,0,0,0,0,0,3.17,0,0,0,6.5,0
 48-58,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.59,0,0,0,0.66,0,0,0,0
 72-82,0,0,0,0.76,0,0,1.5,0,0,0,0,0,0.71,0
 84-94,0,0,1.03,0.58,0,0,0,0,1.08,2.17,0,0,3.17,0
 96-106,0,0,0,0,0,0,1.72,1.63,1.79,0,0,0,1.53,0
108-118,0,0.47,0,0,2.59,0,0,2.83,0,0,0,0,2.01,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1,0
