stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,79.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.15,0,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,10.11,0,40.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.76,0,0,39.51,0,0,0,0,0,7.71,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,6.54,0,0,2.08,1.89,0,0,7.45,0,312.04,140.78,5.65,0,0,0,0
 24-34,0,0,23.13,0,0,3.45,1.1,1.36,0,0,0,1.22,0,0,0,0,0,6.41,0.77,0,21.89,23.51,0,0,0,0,0.7,0,0,102.11,32.05,6.3,0,38.84,0,0
 36-46,0,0,39.97,0,0,3.96,3.26,8.57,0,1.51,0,3.38,0,0,0,0,0,2.89,0,1.81,7.67,17.69,12.83,0,0,2.1,0,0,0,42.56,4.52,4.11,0,42.92,0,0
 48-58,0,0,33.17,2.7,0,28.54,5.17,1.42,0,1.04,0,0.55,0,0,0,0,0,29.16,0,6.62,19.99,21.8,0,0,0,0,0,0,0,17.2,0,1.55,1.02,34.08,0,1.48
 60-70,0,0,17.36,0,0,29.87,20.36,1.1,0,1.95,4.11,0,0,0,0.85,0,0,17.5,0,15.8,26.19,90.42,0,0,0,0,0,0,0,41.21,0,2.86,18.11,16.31,26.6,0
 72-82,0,0,7.77,2.83,0,26.51,26.45,0,0,7.2,0,0,0,0,0,2.39,0.64,30.77,0,47.94,24.9,78.97,0,0,2.25,6.44,0.72,0,0,9.28,0,0.84,33.99,32.01,99.63,0
 84-94,0,0,12.49,1.51,0,13.72,39.08,2,0,0,0,0,0,0,0,0,0,16.34,0,49.14,11.93,22.49,0,0,0,0,0.85,0,0,18.61,0,2.26,40.88,37.47,178.93,0
 96-106,0,0,6.32,0,1,19.6,41.72,0.87,0,0,0.74,2.5,1.33,0.74,1.11,0,7.92,33.18,0,39.75,4.33,31.27,0,0,0,22.43,1.82,0,1,15.93,0,4.75,39.21,49.35,214.41,0
108-118,0,0,4.49,6.5,0,19.28,22.86,0.89,0.75,3.71,0,0,0,0,0,0,0,40.69,0,20.22,4.62,43.82,0,1.09,0,35.12,1.34,0,0,9.72,0,4.66,35.22,39.65,134.25,0
120,0,0,7.09,0,0,3.85,38.71,2.58,0,0,0,0,7.02,0,0,9.76,0,23.49,0,16.56,6.08,27.02,0,0,0,58.27,0,0,0,9.08,0,0,50.07,66.48,213.61,0
