stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,5.69,0,0,0,0,0,3.55,0,0,0,0,38.71,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.23,0,0,8.56,0,0,0,0
 14-21,0,0,0.98,0,0,0,0,0,0.85,0,0,15.98,0,0,0.83,0,0.85,2.27,0
 24-34,0,0,0,0.8,2.15,0,0,0,0,1.03,0,14.44,1.01,1.16,0,0,0,8.51,0
 36-46,0,0,0,1.89,0.63,0,0,0,0,6.97,1.09,18.45,1.4,0,0,0,0,7.07,0
 48-58,0,4.59,0,5.95,0.94,1.69,0,0,0,0.89,0.42,3.68,0.95,0.43,0,0,0,0.74,0
 60-70,0,0.78,0,10.62,3.61,0,0,0.77,0,0,0,6.65,0.88,2.66,0,0,0,0,7.57
 72-82,0,0,0,0,0,0,0,0.81,0,0,0,4.46,1.86,0,0,0.59,0,1.37,0
 84-94,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0
 96-106,0,0,0,3.24,1.84,1.15,0,0,0,0,0,6.51,0,0.77,0,0,0,1.92,0
108-118,0,0,0,0.84,2.39,0,0,0,0,2.4,0,8.54,0,0,0,0,0.42,0,0
120,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
