stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,637.74,13937.73,0,0,0,0,0,0,0,0,0,0,0,0,535.6,0,0,0
  5-6,220.99,1954.56,0,0,0,0,0,7.31,0,0,0,253.94,0,7.5,9.1,0,0,0
  7-9,3.82,0,3.54,4.03,0,0,0,10.84,0,0,0,172.29,0,21.27,0,181.42,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,27.69,0,8.19,0,69.53,0,0
 14-21,0,0,0.96,0,0,0,0.82,0,0,0,0,0.86,0,0.82,0,9.33,0.86,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.85,3.95,0,0,0,0.75,0.9
 36-46,0,0,0,0,0,0,0,0,0,1.88,0,4.73,0,0,0,1.61,0,0
 48-58,0,0,0,0.49,0,0,0,0,0,0,0,0.48,0,0,0,0,0.81,0
 60-70,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0
 72-82,0,0,0,1.85,0,0,0,0,0.63,0,1.17,1.92,0,0,0,0,0,0
 84-94,0,0,0,1.89,0.91,0.94,0,0,0,0,0,1.03,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.96,0,2.31,0,0,0,0,1.25,2.64
108-118,0,0,0,0.89,0,0,0,0,0,6.74,3.31,0.44,0,0,0,0,0,0
120,0,0,0,0,0,16.1,0,0,3.46,0,0,0,0,0,0,0,0,0
