stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,13.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,28.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,7.93,1.68,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79,0,0,46.35,31.39,1.29,0,0,0,0,0,2.36,0,0,4.94,0,0,0,0,0,0
 24-34,0,0,0,25.64,0,0,10.65,0,0.65,1.62,0.76,0.73,0,50.87,0,0,0,0,0,0,1175.46,0,0,581.38,139.43,0.65,0,0,0,0,2.3,0,0,0,1.7,12.38,0,0,2.7,0,2.88
 36-46,0,0,0,11.14,0,0,11.01,0,4.2,79.87,2.66,0,0,53.23,0,0,0,0,0,0,3138.14,0,19.71,611.7,103.17,5.08,10.34,0,0,4.61,2.91,0,0,0.59,0,8.22,0,0,8.14,0,0.64
 48-58,0,0,0,21.35,0,0,60.95,0,16.85,111.81,21.44,0,5.26,32.15,0,0,0,0.56,2.05,0.87,3287.56,0,24.53,490.78,241.44,1.25,0,2.25,0,10.23,21.11,0,0,0,0,27.71,0,5.33,6.14,0,28.03
 60-70,0,0,0,14.45,0.57,0,91.67,0.59,20.12,123.4,12.72,3.45,0,13.43,1.14,0,0,0.7,3.93,0,5115.4,3.82,155.33,381.03,231.84,0,0.89,3.21,0,13.13,14.89,0,3.48,1.24,0,34.2,0,76.12,5.79,36.59,30.19
 72-82,0,0,0,47.8,11.98,0,258.69,10.68,13.58,130.45,36.47,2.12,0,20.31,2.2,0.63,4.89,2.42,2.18,0,8722.52,0.77,332.78,397.06,382.58,0,0,0,0,36.89,13.46,0,0,0.72,0,28.31,2.98,217.35,13.74,327.35,17.11
 84-94,0,0,0,24.38,23.18,1.04,374.54,0.7,7.18,155.89,29,5.27,0,31.99,6.43,0,1.91,0,10.08,6.63,6917.23,0.69,341.11,341.54,146.31,1.43,0.6,1.3,0,24.33,1.79,0,0,0.68,0,12.76,1.01,244.52,7.29,257.94,3.61
 96-106,0,0.74,1.07,44.59,6.82,2.76,214.04,8.5,17.6,117.6,38.93,4.43,0,39.17,5.61,0,0,1.75,14.33,4.74,6998.79,0,375.21,307.79,314.39,2.1,0.83,8.62,0,84.87,14.16,0,3.65,0,0,9.59,6.07,201.16,10.91,314.69,3.99
108-118,0,0,0,31.82,4.85,2.65,193.61,0.54,10.96,146.31,29.6,5.03,0,35.5,7.06,2.21,11.35,0.57,3.28,0.89,8267.06,4.07,394.12,256.78,479.98,2.66,1.27,0.51,0,142.22,4.94,0,1.8,0,0,6.73,0.91,171.59,28.41,265.35,11.37
120,0,3.29,0,51.75,5.57,0,125.72,1.21,9.52,117.91,35.56,9.81,0,39.87,0,0,0,0,31.12,1.6,7669.56,0,443.17,271.16,398.84,14.82,11.36,0,0,86.25,0,0,0,0,0,2.14,0,150.82,27.5,383.55,19.28
