stage,blastomeres,epidermis,eye,fin.epithelia,ionocyte,mesenchyme,mucous,neural,periderm
  3-4,16.05,0,0,0,0,0,0,0,0
  5-6,16.32,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.5,0
 10-12,0,0,7.69,0,0,0,0,21.88,0
 14-21,0,0,0,0,0,0,0,0,0.98
 24-34,0,0,0,0,0,0,0,0,23.66
 36-46,0,0,0,0,0,4.28,0,1.58,43.26
 48-58,0,0,0,0,0,0,0,4.76,43.43
 60-70,0,0,0,0,0,0,0,0,29.58
 72-82,0,2.15,0,0,0,0,0.56,0,25.96
 84-94,0,1.3,0,0.57,0,0,0,0,31.06
 96-106,0,9.36,0,1.02,0,0,0.78,0.61,39.03
108-118,0,3.56,0,0,0.65,0,0.87,0,50.11
120,0,1.07,3.04,0,0,0,3.7,0,31.25
