stage,axial,blastomeres,eye,glial,immune,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord
  3-4,0,117.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,208.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,22.16,0,17.03,0,0,0
 10-12,0,0,0,0,0,0,0,40.11,0,0,0,0,0
 14-21,0,0,0,0,0,0.92,0,7.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.61,1.61,0,4.9,0,0
 36-46,0,0,1.8,0,0,0,0,2.67,0,0,1.64,0,0.76
 48-58,0,0,1.91,0,4.87,0,0.73,1.46,0,0,3.89,0,0
 60-70,0,0,1.31,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.58,0,0,8.33,0,0,0,0,0
 84-94,0,0,0,0,0.64,0,0,0,0,0,1.63,0,0
 96-106,0,0,0,0,7.99,0,0,4.68,0,0,0,0,0
108-118,0,0,0,2.71,21.14,0,0.89,0,0,0,0,0.94,0
120,0,0,0,0,2.01,0,0,17.24,0,0,0,0,0
