stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.55,312.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0
  5-6,8.27,604.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,7.99,46.62,24.38,0,0,50,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,417.29,16.15,0,0,129.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.08,10.06,0,0,12.64,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,438.74,25.71,0,0,121.66,0,0,9.66,0,0,3.28,0,0,0,0
 14-21,0,0,1.03,10.23,3.55,0.82,0,0,0,146.38,0,0,0,0,0,0,5,9.65,0,0,0.99,140.06,0,0,18.16,10.13,0,15.16,148.64,0.98,0.81,461.42,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,127.38,0.59,0,0,0.66,3.74,1.41,0,12.84,0,0,1.3,106.03,6.02,24.74,3.89,0,1.4,0,101.01,0,2.14,349.94,0,0.77,0,0
 36-46,0,0,0,0,0,22.84,0,0,0,95.53,0,0,0,0,0,0,0,7.15,0,0,0,100.37,0,40.48,0.8,0,0,0,42.79,0,0,179.41,0,0,0,0
 48-58,0,0,0,0,0,22.1,0,0,0,115.6,0,0,0,0,0,3.79,3.36,7.26,0,0,0,87.16,0,36.87,4.91,0,0.44,0,12.24,0,0,149.77,0,1.44,0,0
 60-70,0,0,0,0,0,46.86,0,0,0.67,57.93,0,0,0,0,0,16.58,0,12.48,1.53,0,0,57.56,0,44.48,33.93,0,0,0,7.55,0,0,70.81,0,0,0,1.66
 72-82,0,0,0,1.48,0.66,36.41,1.7,0.78,0,81.06,0.65,0,0,0,0,12.88,0,12.62,0,0.71,0,45.19,0,39.03,26.58,0,0,0,4.22,0,0,36.65,0,0,0,0
 84-94,0,0,0.89,5.2,1.04,19.68,0,0,0,29.38,4.15,0,3.85,0,0,12.02,0,8.31,0,0.58,2.1,63,0,87.36,39.35,0,0,0,23.81,0,0,46.94,1.76,4.91,0,0
 96-106,0,0,3.91,1.95,11.75,9.38,0,1.53,0,48.3,1.06,0,0,0.92,0,25.64,0,11.01,0,0,0.56,36.25,0,69.97,46.23,0,0.68,0,5.62,0,0,33.06,0,4.99,1.49,0
108-118,0,0,3.3,0,3.48,16.83,0,0,0,20.32,0,0,1.73,0,0,12.22,3.13,14.54,0,2.81,2.21,69.75,0,58.86,32.46,0,0,0,22.11,0,0,25.9,0,2.83,0,0
120,0,0,0,4.75,29.4,11.77,0,0,0,46.92,8.01,0,0,0,0,16.89,0,5.19,0,0,0,65.14,0,65.49,54.61,0,0,0,28.68,0,0,19.81,0,0,0,0
