stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,108.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.15,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,10.42,0,0,0,0,12.56,0,0,0,0,0,0,0,0
 14-21,0,0,2.06,5.57,0,3.27,0,0,0,0,0,2.46,0,0,0,0,0,0,1.92,0,2.76,46.44,0.89,0,0,0,0,0,9.71,1.83,4.85,10.12,23.27,0,0,0,0,0
 24-34,0,0,2.03,2.94,0,11.06,0.66,0,0,2.44,0,0.8,0,0,0,1.21,0,0,10.93,0,6.42,164.54,3.05,0,0,0,2.18,0,0,0,5.14,4.15,31.51,0,0,7.25,0,0
 36-46,0,0,0,4.41,0,38.8,21.5,0,0,4.07,0,0,0,0,0,0,0,0,13.92,0,23.86,151.28,4.37,0,0,0,8.93,0,0,0,11.58,0,38.48,0,0,1.23,0,1.05
 48-58,0,0,0,5.07,0,89.33,17.12,0,0.55,5.11,0,0.44,0,0,0,0,0,0,24.68,1.34,6.2,164.17,1.91,1.16,0,0,2.27,0,0,0,10.64,0,55.13,0,0,0.82,0,1.17
 60-70,0,0,0,0,0,186.88,32.04,0,1.47,30.28,1.59,0,0,0,0,0,2.6,0,20.5,0,10.61,247.52,1.23,0,0,1.22,0,0,0,0,11.83,0,48.98,0,1.93,4.5,0,0
 72-82,0,0,0.75,2.41,0,266.11,17.1,0,1.48,18.99,0,0,0.52,0,0,0,0,0,16.37,3.27,4.8,239.31,0,5.48,0,0,0,0,0,0,1.3,0,24.96,0,0,3.91,4.01,0
 84-94,0,3.88,0,1.61,4.35,178.12,16.44,0,0,35.53,0,0,0.77,0.76,0,0,9.96,0,30.01,3.36,8.25,126.8,2.41,0,0,0,2.05,1.4,0,0,7.09,0,23.64,0.75,1.05,3.16,0.92,0
 96-106,0,0,0,7.07,5.85,220.46,35.83,0,0,14.06,0.67,0,0,0,0,0.67,0,0,25.47,2.04,1.98,137.16,0.71,0.8,0,1.57,5.96,0,0,0.58,3.41,0,6.06,0,0,9.76,0,0
108-118,0,0,0,0.97,0,187.69,19.74,0.96,1.26,26.93,4.01,0,0.64,0.42,0,0.43,0.46,1.97,26.64,3.39,10.13,185.1,0,0,0,0,0,0,0,0,4.24,0,5.32,1.43,0,0.56,2.5,0
120,0,0,0,2.7,0,122.78,24.88,1.21,0,43.85,0,0,0,0,7.51,0,0,0,34.27,2.18,8.81,324.13,2.28,0,0,0,0,0,0,0,0,0,17.43,0,0,0,0,0
