stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,37.62,643.31,0,0,0,0,0,0,41.88,0,0,0
  5-6,32.63,952.24,0,0,0,75.43,6.07,0,48.03,0,0,0
  7-9,9.52,31.62,11.38,35.91,9.41,464.41,0,141.51,3.92,0,0,0
 10-12,0,15.33,3.34,33.76,7.58,357.59,11.57,69.26,4.24,13.69,6.05,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.95
