stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5,0,0,0,0,0,83.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.67,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,19.98,0,0,0,10.57,0,38.03,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,2165.3,6.95,0,0,107.35,0,3.1,0,15.51,0,5.41,3.51,0,0,0,0
 14-21,0,1.05,0,52.62,19.26,0,59.62,0,0,0,17.8,1.08,0,0,1.27,0,0,0,1.56,0,197.96,0,0,285.01,3074.94,3.19,254.66,38.23,0,0,2.49,6.94,0,0,24.96,1850.64,0,1.07,0,0
 24-34,0,0,1.68,29.82,9.3,0,257.78,0,2.82,17.47,26.4,0.89,2.94,0,0,5.61,0,0,3.82,0.8,700.43,0.91,0.69,299.26,15403.03,1.84,386.52,41.75,0,0,16.03,3.22,0.99,14.45,12.18,3554.1,0,10.77,0,2.08
 36-46,0,0,0.56,12.71,17.62,0,1256.4,1.53,0.68,18.02,64.85,0,1.26,2.5,0.83,0,0,3.49,0,1.09,560,2.15,0,301.3,21116.34,1.34,153.17,10,0,0,66.2,0,0,0,0,5176.98,0,11.53,0,1.05
 48-58,0,0,0,40.49,3.59,0,1682.64,0.42,2.57,15.08,252.69,0,0.49,1.26,0.86,0.39,3.42,2.22,1.98,0.8,587.84,1.18,1.01,163,12347.87,5.25,72.14,0.97,0,0,8.36,0,0,0,0,3520.3,0,5.36,0,22.15
 60-70,0,0,0,6.84,0,0,1009.89,0,7.51,3.35,120.73,0,0,1.7,2.47,0.58,0,1.16,0,8.91,284.32,0,0,119.12,5243.39,0,17.71,6.15,0,6.63,3.47,0,1.35,0,0,1294.09,3.19,4.6,0,0
 72-82,0,0,0,15.46,7.69,0,359.82,0,1.57,7.7,38.32,0,0,0.58,3,0,0,0,0,0,183.73,0,1.75,90.44,2199.98,0,20.29,0.83,0,9.76,2.38,0,0,0,0,288.67,5.2,0.98,1.55,5.24
 84-94,0,0,0,8.24,0,0,376.21,0.59,2.91,4.11,41.4,0.97,0,2,1.19,0,1.27,0,0,0,177.72,0,0.57,55.17,1443.51,1.11,8.93,1.16,0,4.31,0.93,0,0,0.68,0,216.06,0,0,0,4.6
 96-106,0,0,0,10.54,3.05,2.47,204.49,0.9,0,5.15,32.27,0.6,0,0,0,0,0,0,0,0,104.87,0,0.87,40.94,1059.08,1.43,28.43,0.56,0,7.9,4.61,0,0,0,0,81.2,0,6.23,1.12,0
108-118,0,0,0.49,8,3.84,0,204.12,0,0,7.09,27.73,0.64,0,0.98,2.87,0,0,0,0,0,116.77,0.53,1.38,35.74,1556.29,0,24.04,0.48,0,26.35,0.44,0,0,0,0,30.44,0,0,0,0
120,0,0,0,25.64,0,0,289.45,0,0,0,38.95,0,0,0,0,0,0,0,15.04,0,44.2,0,0,27.65,1128.67,0,34.56,3.9,0,36.91,1.42,0,0,0,0,5.28,0,0,0,0
