stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.81,392.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
  5-6,36.36,561.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.66,0,37.1,0,0,92.23,0,0,0,0,0,30.69,0,0,0,0,0,0,0,0,0,795.3,28.66,0,0,117.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.58,0,101.31,0,0,76.58,0,0,0,0,0,98.65,0,0,0,0,0,0,0,0,0,883.63,10.68,0,0,275.49,0,6.22,19.36,0,31.1,5.61,0,0,0,0,0,0
 14-21,0,0,0,0.83,5.66,0.93,0,0,0,0,5.54,0,3.82,0,0,0,0,0,0,4.46,0,1.26,55.47,1.31,0,2.64,2.26,0,1.51,0,10.88,0.86,12.97,19.6,0,0,0,0,0
 24-34,0,0,0.66,0.65,10.32,0,20.41,0,0.83,0,3.45,1.99,0,0,0.88,1.96,0,1.68,0,4.43,0,9.1,157.05,0,5.05,3.35,0,0,0,0,0,0,8.63,34.38,0,0,3.15,0,0
 36-46,0,0,1.4,0,1.46,0,24.17,2.61,0,0,4.96,0,0,0,0,0,0,2.84,0,11.41,0.56,3.51,144.59,0,1.22,0,0,0,6.17,0,0,0,0,38.41,0,0,0,0,0
 48-58,0,0,0,0,0.46,2.52,40.63,0,4.04,2.15,5.09,0.51,0,0.67,0,4.94,0.62,0.45,7.53,5.12,0.41,1.87,137.67,0,0,0.66,0,0,0.41,0,0,0,0,32.84,0,0,4.82,0,0.45
 60-70,0,0,0,0,12.44,0,59.37,1.07,1.46,0.9,7.75,0,0,0,0,0,1.29,2.56,0,8.1,0,1.67,117.63,0,1.19,0.63,0,0,6.2,0,0,0.91,0,19.8,0,0,0,0,0.77
 72-82,0,0,0,0,0,0,68.93,0,0.5,0.52,4.92,0,0,0.66,1.74,0,0,1.43,11.4,15.5,3.24,1.02,106.78,0.56,2.22,1.75,0,1.4,0.51,0,0,0,0,8.42,0,0,0.85,1.15,0
 84-94,0,0,0,0,6.48,0,49.33,0,8.04,0,11.48,0,0,0.79,0,0,0,0,0,7.86,2.7,0,57.66,0,2.26,4.58,0,0,4.74,0,0,0,0,4.92,0,1.38,0,0,0
 96-106,0,0,0,0,1.45,0,22.56,0,0,0.64,6.83,1.32,0,0,0.65,0.59,0,0,0,16.99,0,1.33,28.54,0,1.95,1.17,0,0,10.91,0,0,0,0,3.13,0,0.96,2.65,0,1.75
108-118,0,0,0,0,2.36,0,25.09,0,1.08,6.19,12.55,4.33,0,0,0.56,0,0.95,0.64,1.69,10.73,0,5.59,91.57,0,0.49,0.55,0,0,4.9,0,0,0,0,0,1.68,0,2.21,0.74,0
120,0,0,0,0,1.26,1.84,48.47,0,0,0,1.76,0,0,0,0,0,0,0,0,4.55,0,2.43,201.1,0,12.85,7.18,0,0,11.3,0,0,0,0,0,0,0,0,0,0
