stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.87,118.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.36,0,0,0,0,0,0,0,0
  5-6,0,78.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.37,0,0,0,0,0,0,0,0
  7-9,4.37,8.5,0,8.98,0,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.74,6.56,0,0,24.69,180.86,7.76,0,0,0,0,0,0,0
 10-12,0,6.04,0,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.83,0,0,0,7.43,18.75,0,0,0,5.09,0,0,0,0
 14-21,0,0,0,0,37.43,2.02,9.28,0,0,0,0,3.82,1.35,0,3.46,0,0,2.94,20.89,6.47,0,0,0,17.79,0.91,0,0,0.89,142.4,0,1.37,0.89,16.08,0,0,0,0
 24-34,0,0,0,0.6,43.68,0,7.45,0,3,0,0.94,0,0,0,7.74,0,2.19,0.65,20.42,7.71,8.86,0,0.67,84.07,0,19.21,4.56,0,368.88,0,0,0,22.52,0,0,0,2.4
 36-46,0,0,0,0,55.25,0,0.61,0,3.79,0,12.38,0,1.01,0,10.12,2.53,1.91,0,13.11,5.6,17.44,0,0,78.69,0,18.56,0.69,0,538.38,0,0,0,12.91,0,0,0,1.16
 48-58,0,0,0,0,29.3,0.56,4.33,0,18.97,0,2.2,0,3.5,0,0,1.61,3.58,3.96,7.08,3.12,15.82,0.77,1.55,71.71,1.71,9.32,0,0,322.04,0,0,0,15.04,0,0,0,1.64
 60-70,0,0,0.62,0,35.49,3.14,12.3,0.59,27.4,1.21,1.42,1.22,1.8,0,9.61,3.92,2.09,0,0,5.35,12.79,0,0,59.46,0,11.52,1.8,0,334.11,0,0,0,22.18,0,2.09,0,0
 72-82,0,0,2.11,0,44.74,0,8.32,0,8.36,0,6.29,3.39,1.02,5.24,1.13,1.06,11.26,0,1.88,11.52,20.92,0,0,37.31,0,13.23,2.23,0,193.13,0,0,0,17.89,3.55,1.47,0,0
 84-94,0,0,9.34,0,59.54,3.02,5.44,0,21.87,0,6.6,9.3,1.23,5.24,7.77,0.64,6.41,0,0,0.7,37.24,0,0.87,27.61,0,8.7,1.38,0,593.64,0,0,0.58,37.12,8.26,0,1.13,0
 96-106,0,0,1.44,0,120.37,4.7,6.94,0,26.33,0,12.76,13.77,0,4.84,7.42,0.57,8.71,0,0.98,9.98,43.11,0,0.96,69.16,0,16.07,1.5,0,470.64,0,0,0,21.2,6.63,0,1.5,0
108-118,0,0,2.59,1.8,133.56,5.45,24.07,0,37.98,0,21.93,9.92,0,16.27,14.17,0,16.73,3.72,2.75,16.78,38.84,2.14,0,32.65,0.51,15.05,1.6,0,341.35,0,0,0.62,0.94,9.39,0,0,0
120,0,0,0,0,189.57,0,6.68,0,37.17,0,7.31,11.98,0,33.95,18.14,2.67,13.7,0,0,18.69,18.18,0,0,74.71,0,16.43,0,0,336.54,0,0,0,0,6.61,4.97,0,0
