stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,6.07,0,0,0,0
 14-21,0,0,0,2.87,0,0,0.98,0,0.82,4.33,0,0,0,82.23,0,0,0,1.15,0,8.17,0
 24-34,0,0,0,6.57,0,0,1.64,0,0.79,0,2.42,0,0.61,294.68,0,0,0,2.11,0,76.37,4.13
 36-46,0,0,0,15.97,0,0,0,0,0,0,0.6,0,0,113.02,0,0,0,4.69,0,15.13,0
 48-58,0,0,0,49.76,0,0,0,0,0,0,0,0,0.91,29.26,0,0,0,0,0,4.46,0
 60-70,0,2.22,0,161.88,0,0,0,0,0,0,0,0,0,3.69,0,0,0,7.78,0,1.38,0
 72-82,0,0,0,477.8,0,0.64,0.99,0,0,0,8.62,0,0,13.03,0,0,0,1.72,0,0,0.62
 84-94,0,0.94,1.22,610.65,0,0,2.78,1.06,1.39,0,0,0,0,15.07,1.04,0,0,5.07,0,0,0.86
 96-106,0,0,0,677.91,10.23,0,1.92,0,1.12,1.03,10.31,0.69,0,7.61,2.39,0.77,0,2.91,0.89,0,0
108-118,0,1.3,0,577.96,0,0,1.59,1.42,0,0,3.89,0,0.57,17.51,0,0,0,2.39,0,3.43,1.25
120,0,0,0,642.22,0,0,6.26,0,0,0,25.27,0,0,18.12,0,0,0,4.6,0,0,1.66
