stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,4.08,0,0,14.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,4.42,0,0,59.02,0,0,0,0,0,0,7.71,0,0,0,0,0
 14-21,0,16.56,21.78,19.63,13.39,0,0,0,0,5.05,0,0.96,0,0,0,0,0,3.39,0,2.39,39.11,0,0,0.88,1.06,0,0,0,13.8,0,64.49,97.04,12.69,0,0,27.69,0
 24-34,0,8.27,14.69,2.88,28.77,0,0,1.83,3.69,4.02,0,13.17,0,2.35,0,0.68,0,33.14,0,17.38,116.95,24.56,0.84,0,0,0,0,0,0,0.63,8.58,0.6,22.68,0,0,327.41,0
 36-46,0,0.87,3.15,0.6,23.78,0,0,2.98,1.32,0.61,0,2.24,0,0,0,0.61,0,52.7,0.71,10.3,117.75,3.44,0,0,0,0,13.63,0,0,6.37,14.64,0,14.92,0,0,194.26,0
 48-58,0,0,7.57,4.44,68.19,1.29,1.9,2.07,2.58,0.91,2.77,4,0,0,4.96,2.61,0,76.93,9.38,10.74,81.05,1.42,0,0,0,6.58,0,0,0,0.62,3.73,0,8.69,0,1.86,190.68,0
 60-70,0,0,0.91,0,74.87,1.08,1.19,0.78,3.64,0.62,0,2.93,0,0,0,0,2.97,124.74,4.04,3.75,58.93,2.62,6.22,0,0,2.07,0,0,0,3.45,5.63,0,13.34,0,8.57,192.15,0
 72-82,0,3.31,6,2.7,76.51,0,0,1.67,6.59,1.22,0,7.06,0,0,0,4.81,0.62,196.14,18.99,11.06,52.64,0,1.05,8.38,0,3.56,0.96,0,0,0,5.98,0,8.18,0,7.46,305.84,3.25
 84-94,0,0,11.38,1.79,111.49,0,0.91,9.38,5.31,9.05,0,8.67,0.61,0,0,0,6.28,214.41,9.23,14.67,50.77,1.11,0,0,0,7.38,2.95,0,0,1.4,1.17,0,3.01,0,8.94,249.56,13.8
 96-106,0,0,0,7.13,111.62,1.43,0,0.81,16.8,10.12,0,6.14,1.41,0,0,1.31,0.6,168.2,7.21,2.75,59.07,0,2.08,0,0,6.05,0,0,0,1.3,0,0,0.64,2.62,9.44,277.53,9.96
108-118,0,0.44,4.51,0,94.11,1.4,0.57,0,9.57,5.94,0,1.65,2.44,0,0,0,9.55,201.31,8.54,5.85,47.73,0.46,0,1.35,0,4.1,6.19,0,0,3.97,4.28,0,9.34,0,13.23,217.92,9.07
120,0,0,5.79,6.81,106.26,0,0,14.41,45.67,10.33,0,3.06,1.85,0,0,0,27.19,268.15,33.06,5.01,61.83,5.28,1.54,18.54,0,0,0,0,0,2.26,1.21,0,19.88,0,0,421.64,7.69
