stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,15.07,0,0,0,0,0,0,0,0,22.32,0,0,0,7.26,0,0,0,0,0,0
 10-12,6.16,0,0,0,0,0,0,0,0,0,0,0,21.94,9.41,0,0,0,0,0,0,0,0,0
 14-21,0,11.27,1.07,2.54,0,0,0,0,0,0,0,6,97.11,0.88,0,0,0,1.57,1.88,10.88,16.1,1.12,0
 24-34,0,9.09,0,4.5,3.02,1.54,2.18,0.69,0,0,0,0,142.95,0,0,3.04,0,0,0,0.68,29.76,15.32,0
 36-46,0,19.28,0,7.65,1.84,0,23.67,0,1.38,1.55,0,0.68,147.3,1.72,1.55,3.46,0,0,0,0,31.81,13.38,0
 48-58,0,22,0,5.94,13.34,0,20.76,1.01,0.73,1.79,0,0,55.05,0,0,1.65,0,0,0,0,18.12,6.71,0
 60-70,0,7.92,0,6.95,3.8,0,16.13,0.92,1,0,0,0,20.16,0,0,4.32,0,0,0,0,0.67,8.48,0
 72-82,0,0.93,0,3.5,2.27,0,37.48,0,0,0.57,0,0,16.81,0,0,0,0,0,0,0,11.1,15.17,0
 84-94,0,1.18,0,1.18,7.55,0.58,14.33,0,1.5,0.68,0,0,13.59,0,0,0.56,0,0,0,0,0,13.24,0
 96-106,0,3.17,0,0.63,3.89,0,20.78,0,0,0.6,0,1.37,11.24,0,0,0.58,0,0,0,0,0,18.06,1.21
108-118,0,14.48,0,0,12.76,0,20.89,0,0,3.57,1.39,0,11.94,0,0,0,0,0,0,0,0,7.33,2.76
120,0,5.26,0,3.91,9.73,0,36.27,0,0,28.47,0,0,9.94,0,0,0,0,0,0,0,0,22.59,0
