stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.95,1075.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.93,0,0,0,0,0,0,0,0,0,0
  5-6,50.98,1170.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.95,0,0,0,13.43,0,23.25,0,0,0,0,0,0,0,0,0,0
  7-9,8.84,32.18,51.09,0,0,112.61,0,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,695.18,0,0,0,214.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.98,45.95,0,11.83,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.82,10.48,0,0,164.69,0,0,0,24.61,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,6.37,6.79,12.67,0,0,0,7.54,0,0,0,0,0,0,0,0,3.43,13.49,0,6.72,207.06,3.93,1,1.93,1.41,0,1.12,9.22,0,17.84,8.16,51.47,0,0,5.31,0,0
 24-34,0,0,1.62,3.45,8.46,50.01,0,0,0,10.41,4.98,0,1.87,1.33,0.63,0,0.75,0,0,32.12,0,8.84,339.29,3.09,1.79,2.94,0,0,1.48,0,0,9.49,0,60.44,0,0,40.4,0,2.64
 36-46,0,0,0,1.97,0,63.66,0,0,0,2.19,0,0,0.87,0.56,0,0,0,0,0,33.63,0,5.09,222.12,2.57,0,0,0,0,0,0,0,0.74,0,26.04,0,0,10.74,0,0
 48-58,0,0,0,1.58,0,91.87,0,0,0.45,9.02,0,0,0,1.26,0,0.39,0,0,0.54,31,0,2.71,234.09,0,0,6.21,0,0.56,0,0,0,0,0,19.22,0,0.79,7.52,0,0
 60-70,0,0,0,7.41,0,80.88,0,0,0,22.89,0,0,1.5,0,0,3.07,0,0,0,27.79,0,1.36,135.26,5.27,0,0,0,0,0,0,0,0,0,15.57,0,0,3.83,0,0
 72-82,0,0,0,0,0,51.57,0,0,0,7.72,0,0,0,0.52,0,0,1.35,0,0,28.16,5.99,0.49,108.11,0,0,0,0,1.05,0,0,0,0,0,12.24,0,0,20.29,1.15,4.1
 84-94,0,0,0,0,0,49.87,0,1.75,0,7.71,0,0,0,0,0,0,0,1.28,0,21.74,0,1.93,63.15,0,2.78,0.74,0,0,0,0,0,0,0,4.92,0,0,1,0,0
 96-106,0,0,0,0,0,46.99,2.82,0,0,7.76,1.14,0,0,0.56,0,0.75,0,0,0,20.9,1.85,0,45.18,0,0.92,1.12,0,4.17,0,0,0,0,0,4.72,0.82,2.5,9.3,0,0.68
108-118,0,0,0,1.21,0,19.43,0,0,0,4.92,0,0,0,1.1,0,0,0,0,0,12.4,1.31,0.52,62.59,0,0,0,0,2.93,0,0,0,0,0,2.75,0,0,7.08,0.65,0
120,0,0,0,0,0,21.08,0,0,0,16.53,0,0,0,2.77,0,0,0,0,0,5.7,0,7.45,67.22,0,0,0,0,0,0,0,0,0,0,0,2.24,0,2.6,0,0
