stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,6.01,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0
 14-21,0,1.71,0,0,0,0,0,1.13,0,0,0,0,0,0,0,31.38,1.77,0,0,0,2.29,12.1,0,0,0
 24-34,0,0,0,0,0.64,0,0,3.09,0,0,0,0,3.26,0,0,330.02,1.88,0,0,0,0,29.91,0,0,0
 36-46,0,1.07,0,0,4.81,0,0,3.48,0,0,0,0,1.37,0,0,552.73,0.87,0,0,0,1.12,48.05,0,5.14,0
 48-58,0,0,0,0,30.4,0,0,8.73,0,0,0,0,5.68,0.4,0,641.48,0,0,0,0,0,25.96,0,0.77,0.68
 60-70,0,0,0,0,21.92,0,0,4.94,0,0,0,0,0,0,0,644.46,0,0,0,0,0,21.97,1.77,0,0
 72-82,0,1.12,1.53,0,54.77,0,0.7,21.09,0,2.8,0,0,13.19,0,0.69,882.34,0,0,0,0,1.95,34.51,0,0,0
 84-94,1.16,0,0,0,35.05,0,0,10.24,0,0.67,0,2.16,0.7,1.32,1.16,720.58,0,0,0,0,2.55,26.28,0,0,0
 96-106,0,9.17,0,0,29.81,1.41,0,6.65,0,0,6.67,0,7.23,0,0,539.06,0,0.98,0,2.88,0,6.42,0,3.17,0
108-118,0,6.57,0,0.56,41.08,0,0,31.76,1.74,0,0,0,5.94,0,0,765.09,0,0.43,0,0.95,9.23,7.16,0,2.17,0
120,0,0,0,0,40.23,0,0,26.05,4.22,0,0,0,2.22,0,1.51,1148.71,0,0,0,0,0,14.99,0,0,0
