stage,eye,mesenchyme,muscle,neural,notochord,spinal_cord,vasculature
 14-21,0,0,0,0,1.29,0,0
 24-34,0,0,0,0,1.62,0,0
 36-46,0,0.88,0,0.57,0,0.74,0
 48-58,0,8.28,0,0.49,0,0,0
 60-70,0,8.07,0,0,0,0,0.79
 72-82,1.25,5.1,1.27,0,0,0,0
 84-94,0,8.78,0,0,0,0,0.63
 96-106,0,1.8,0,0,0,0,0
108-118,0,2.99,0,0.94,0,0,6.58
120,0,3.95,0,2.22,0,0,2.17
