stage,axial,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.41,0,0,0,0,0,0
 14-21,0.89,1.66,0,0,0,0,0,7.08,0,0.96,0,0,0,0.95,0,1.4,0,0,0,4.55,0,0
 24-34,0,1.37,0,0,0,0,0,0.62,0,2.81,0,0.78,0,9.86,0,31.71,4.7,0,0,1.09,0.89,0
 36-46,0,1.53,0,0,0,0,0,15.01,0,1.03,0,0,0,8.41,0,25.5,0.63,0,0,4.7,0,0
 48-58,0,0.73,2.51,0,0,0,0,1.01,0,0,0,0,0,6.87,0,33.81,0,0,0,3,2.35,0
 60-70,0,0.57,4.21,2.17,0,0,0.78,0,0,0.58,0,0.67,0,3.79,0,5.51,0,0,1.19,20.31,0,0
 72-82,0,1.62,2.18,0,0,0,1.37,1.3,0,0,0,2.26,1.93,8.17,0.54,20.52,4.05,0.53,0,7.58,0,6.58
 84-94,0,10.82,2.18,0,0,2.2,4.54,0,0.83,1.25,0,0,2.03,2.86,0,9.38,0,0,0,39.99,0,1.5
 96-106,0,2.96,3.78,1.29,0,0,7.34,0,0,0,1.14,2.61,3.48,9.45,0,15.01,1.57,0,0,34.15,0,0
108-118,0,8.26,0,0,0.8,0,2.39,0,1.09,4.88,0,7.04,0,10.76,0,9.88,0,0.64,0,27.15,0,4.82
120,0,17.35,0,0,0,0,8.79,0,0,1.02,0,0,3.72,6.58,0,17.99,2.28,1.02,0,32.53,0,1.14
