stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,66.31,583.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.06,1946.72,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,29.47,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,27.55,0,0,0,0,0,0,0,0
 10-12,0,0,7.54,0,10.29,0,0,0,0,0,0,0,0,117.36,0,217.1,0,11.95,0,46.14,0,0,0,0
 14-21,0,1.92,0,278,13.35,0,2.83,5.42,33.04,4.77,146.49,0,118.44,52.55,11.26,184.32,0,11.57,612.49,1.56,4.6,68.08,128.03,0
 24-34,0,0,0,0,0,1.09,0,0,7.04,0,0.93,0,0,1.48,0,0,0,0,0,0,0,0,1.77,0
 36-46,0,0,0,0.94,0,3.53,0.78,0,56.88,0,1.3,0.81,0,5.83,0,16.41,0,0,0,0,0,0,0,0
 48-58,0,0,0,8.32,0,1.24,0.4,0,244.9,0,0,0,13.72,54.58,0,0,0.61,0,0,0,0,0,2.24,0
 60-70,0,0,0,0,0,6.18,16.9,0,70.01,0,0,5.32,0,19,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,5.65,0,0,3.85,0,8.26,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.28,0,34.21,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,3.03,0,187.97,0,0,0,0,4.96,0,0,0,1.5,0,0,0,0,0,0.8
108-118,0,0,0,0.52,0,5.45,0,0,30.05,0,1.14,0,0,76.22,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.55,0,0,1.41,0,7.52,0,0,0,0,0,0,0,0,0,0
