stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  5-6,14.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.03,0,0
 36-46,0,0,0,0,0,0,0.61,0.79,0,0,0,1.5
 48-58,0,0,0,0,0,0,0.96,1.05,0,0,0,0
 60-70,0,0,0,12.59,31.04,0,0,1.13,0.86,0,0,0
 72-82,0,0.66,0,53.49,103.05,0.69,5.06,8.93,0,0,0,0.73
 84-94,0,0,0,70.76,121.81,0,9.39,2.68,0,0,0,0
 96-106,0,1.23,0,87.24,129.25,0,4.99,8.92,0,0,3.56,0
108-118,0,0,2.97,118.22,236.32,0.87,7.11,14.05,0.83,0,0,0
120,0,0,0,73.31,238.78,1.62,8.38,1.76,0,0,0,0
