stage,epidermis,erythrocytes,eye,glial,immune,ionocyte,liver,mesenchyme,neural,presomitic.mesoderm,spinal.cord
 10-12,0,0,10.99,0,0,0,0,0,0,0,0
 14-21,0.84,0,0,1.15,0,0,0,0,0,1.01,0
 24-34,0,0,0,0,0,0,0,1.6,6.91,0,1.93
 36-46,0,0,0,0,0,0,0,0,8.46,0,5.37
 48-58,0,0,2.42,0,0.37,0,0,0,9.65,0,0.63
 60-70,6.21,0,0.82,0,0,0,0,0,10.18,0,0
 72-82,0.55,1.42,0,0,0,0,6.87,0.62,2.35,0,0
 84-94,0,0,4.28,0,0,0,0.56,0,2.57,0,0
 96-106,0,0,15.2,0,0,0,0,0.74,4.6,0,0
108-118,0,0,0,0,0,0.64,1.79,0,4.32,0,0
120,0,0,0,0,1.34,0,0,0,0,0,0
