stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,70.73,619.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583.34,0,0,0,0,0,0,0,0
  5-6,42.49,364.07,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,18.66,10.41,0,0,0,1474.34,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,0,40.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.05,0,0,0,0,6.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.47,13.53,0,0,0,0,0,0,0,1.76,0,0,25.6,0,0,2.73,1.68,0,0,5.62,0,0,2.76,0.99,25.34,0.97,0.82,0,2.29,0,0,0,0
 24-34,0,0,1.29,0.64,6.28,0.87,0,4.23,0,1.75,0,1.11,0.67,0,0,23.82,0,0,2.35,5.07,0,0,16.54,0,1.13,0,0,51.08,0,0,2.29,3.24,0,0,5.38,0
 36-46,0,0,0,0,3.6,0,0,2.32,0,0,0,1.69,0,0,0,9.38,0,0,2.07,0.68,0,0,113.45,0,0,0,0,74.15,0,0.72,0.73,0.57,0,0,0,0
 48-58,0,0,0,0,0.9,0.45,0,30.71,0,0,0,5.62,0,0,0.53,9.25,0,1.31,1.53,0,0,0.57,74.51,0,0.81,0,0,21.98,0,0,0,3.59,0,0,0,3.69
 60-70,0,0,0,0,0.57,0,0,133.77,0.69,3.49,1.71,4.77,0,0,0,3.55,0,0,3.73,0,0,0,112,0,0,0,0,37.66,0,0,1.9,1.46,0,0,0,0
 72-82,0,0,0,0,0.98,2.69,1.86,119.87,2.7,0,0.58,7.58,0,0,0,13.6,0.63,0,3.62,1.61,0,0,127.12,0,0,0,0,17.7,0,0,0,9.89,0,0,0,0
 84-94,0,0,0,0,5.7,4.4,0,103.08,0,0.58,0,8.61,4.15,0,0,15.16,0,0,1.95,3.63,0,1,108.29,0,0,0,0,65.22,0,0,1.34,9.33,0,1.15,0.6,0
 96-106,0,0,0,0,5.81,2.36,0,69.71,0.76,0,0,12.57,4.22,0,0,10.93,0,0,11.38,2.21,0.66,0,106.79,0,0,0.74,0,57.9,0,0,2.02,0.68,0,0,0,0
108-118,0,0,0,0,16.52,3.08,0.91,72.22,1.61,2.28,0,13.07,4.16,0,0,18.56,0,0,5.47,4.35,0,0.53,91.67,0,0.43,0,0,39.93,0,0,2.26,2.18,1.17,0,0,4.35
120,0,0,0,0,6.96,0,0,36.93,0,2.75,0,5.54,0,0,1.89,4.04,0,0,0,23.88,10.4,2.15,103.15,0,0,0,0,35.98,0,0,0,0,0,0,0,9.68
