stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,179.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.93,140.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.59,3.24,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.92,15.87,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.95,0,0,14.97,0,0,0,3.44,0,1.39,4.35,0,2.69,0,0,0,0,0.82,0,0,3.38,365.13,1.7,11.81,0,0.84,0,14.91,0,0.87,1.27,0.91,147.53,0,0,0,0,0
 24-34,0,0,0.75,0,9.16,0,0,36.9,0,1.19,0,3.79,0,0,0,0,2.81,0,0,0,0,0.62,0,0,0.61,2008.36,1.17,12.8,3.07,0,0,54.4,0,5.25,0,1.52,402.93,0,0,0,0,0
 36-46,0,0,0,0,2.93,0,0,186.32,0,0,0,34.3,0.67,0,0.69,0,9.04,0,0.67,8.02,0,20.25,1.5,0,1.9,4877.52,0.59,20.71,4.2,0,0,69.57,0,2.97,0,0,866.39,0,0,0.92,0,0
 48-58,0,0,0,0,35.94,0,0,599.69,3.88,0,1.36,94.03,1.38,0.48,0.64,1.19,0.78,2.42,1.01,4.54,0.48,27.73,0.48,3.93,4.18,4869.38,14.33,13.27,9.22,0,0.56,55.76,0,0.44,0,0,1089.38,0,0,5.16,0,9.01
 60-70,0,0,0,0,9.99,0,0,1210.65,4.1,1.24,0,66.37,0.65,0,0,1.48,0,1.28,1.56,0,8.43,20.86,6.6,0,5.24,3101.69,0,18.92,12.46,0,0,37.26,0,3.17,0,0,660.5,0,0,0.85,0,7.15
 72-82,0,0,0.61,0,23.8,1.38,0,1455.19,0,0,6.41,52.67,2.45,0,1.82,0,2.14,0.82,4.79,0,3.86,29.95,5.2,0.65,13.5,1734.91,0,31.11,11.54,0,0,43.53,0,1.72,0,0,234.35,0.68,0,17.32,0,8.66
 84-94,0,0,3.05,0,14.44,0.76,0,1082.49,0,0.6,6.84,66.36,6.38,3.65,0,4.88,5.68,0.67,7.86,1.81,7.26,40.55,2.42,1.62,4.25,1261.1,0,5.81,24.05,0,0,114.89,0,1.44,0,0,183.79,1.18,1.74,7.09,0,9.33
 96-106,0,0,0,1.03,35.5,13.68,1.51,1143.37,0.84,0,0,57.09,11.28,0,2.05,3.37,4.92,9.15,11.18,10.66,0,26.7,3.73,0.62,1.64,985.68,0,13.41,31.68,0,0,111.43,0,1,0.66,0,67.55,1.39,0,4.19,0.69,0
108-118,0,0,0.83,0.98,37.16,15.29,7.73,1030.16,0.65,2.97,0,66.94,12.48,0,6.24,4.48,6.26,4.07,8.08,6.41,3.91,56.77,3.62,15.12,1.91,1232.91,0,13.46,44.52,0,2.06,61.86,0,2.49,0.42,0,38.56,3.33,0,5.67,1.03,0
120,0,0,0,3.17,39.87,1.71,0,1054.04,0,11.6,12.33,113.83,18.88,0,0,7.88,18.02,1.91,12.76,6.47,0,97.73,17.7,2.75,11.52,1775.03,0,21.68,40.87,0,0,56.65,0,2.27,0,0,143.8,4.09,0,7.36,0,0
