stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,11.04,0,0,0,0,0.84,0,1.08,4.59,0,0
 24-34,0,0,3.54,0.66,61.9,0.62,0,8.12,0,0,0,0,0,0.78,0,20.7,0,2.24,245.68,1.39,0,1.37,3.54,0,0,0,60.59,14.55,0.63
 36-46,0,0,7.72,1.1,102.94,0,0,7.84,0.72,0,0,0,0,0,0,16.33,0,10.28,221.88,0,1.42,0,2.98,0,0,0,33.28,8.64,0
 48-58,0,0,15.36,1.93,90.24,1.71,0,11.15,0.64,0,2.32,0,0,0,0,15.82,0,13.81,200.32,0,0,0,2.95,0,0,0,3.76,0,0
 60-70,0,0,21.75,0,155.59,4.33,0,23.87,2.57,0,0,8.43,2.76,0,0,29.85,0,0,162.58,0,0,2.14,0,0,4.75,0,1.33,0,0
 72-82,0,0,3.9,0,36.77,0,0,2.36,0,1.72,0,0,0,0.61,0,24.11,0,1.67,33.71,0,2.33,1.57,0,0,0,0,3.32,2.16,5.89
 84-94,0,0,3.49,0,11,0,2.12,2.27,0,0,0,0,0,0,1.48,3.72,0.6,0,26.56,0,0,0,0,0,1.09,0,0,0,0
 96-106,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0.59,0,10.98,0,0,0,5.21,0,0,0,0,0,0
108-118,4.14,0,0,2.14,10.96,0.56,0,2.2,0,0,3.53,0,0,0,0.92,3.05,0.46,2.02,7.84,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,37.24,0,2.8,0,0,0,0,0,12.29,0,3.99,16.3,0,0,79.71,0,1.11,0,1.1,0,0,0,5.58,0,0
