stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,22.67,0,0,6.23,0,0.87,0,3.06,0.85,0.85,0,1.77,0,0,0,0,7.41,0,0,5.36,122.25,4.12,2.95,1.88,0.88,0,0,0,2.42,0,0,4.09,39.58,0,0,2.76,0,0
 24-34,0,0.6,0,20.22,0,0,12.97,0,1.88,0,9.12,0.61,0.62,0.9,2.01,0,0.73,0,0,14.53,0.81,0,5.7,272.01,1.7,10.3,0.66,0,0,10.06,0,0,0,0,1.95,63.69,0,0,19.74,0,2.19
 36-46,0,0.95,0,8.42,0,0,48.33,0,3.29,0,14.72,0.72,1.32,0,3.28,2.31,0,0,0.7,34.74,0.65,0,5.45,413.92,0.61,2.6,1.26,0,0,29.82,0.73,0,0,0,0,81.34,0,0,5.44,0,0
 48-58,0,0,0,9.45,1.11,0,164.34,0.83,11.28,3,41.79,0.9,0,2.1,0,0,1.23,2.75,2.28,26.13,0,1.4,7.81,766.61,0,9.61,0.4,0,0,15.08,0,0,0,0,0,95.27,0,0,4.97,0,6.5
 60-70,0,0.65,0,0.88,0,0,241.64,0,9.83,2.81,50.37,10.71,0,0,0.57,2.5,0.88,5.66,7.55,42.68,2.63,1.74,2.71,799.89,0.98,6.46,1.61,0,0,9.16,0,0,0,0,0,125.96,0,0.71,6.62,0,0
 72-82,0,1.6,0,9.18,1.2,0,242.75,0,9.67,0.75,124.67,24.87,1.17,0,3.52,1.06,1.83,12.54,8.76,89.57,0.92,0.88,5.63,827.02,2.28,10.14,14.62,0,2.75,12.17,0.56,0,0.76,1.07,0,86.2,2.25,0,11.54,3.2,4.92
 84-94,0,1.83,0,13,12.95,0,194.34,0,29.09,4.23,126.8,41.91,0,2.67,1.07,6.66,1.59,47.22,0.99,89.81,0,14.59,6.59,535.61,9.59,3.57,7.9,0,2.28,33.72,0,0,0,0,0,67.19,0.66,2.39,7.59,1.27,2.76
 96-106,0,3.07,0,15.92,1.65,0,144.34,0.89,5.83,1.49,118.47,59.99,2.85,2.13,9.4,1.64,0,73.72,1.98,88.34,1.13,1.5,6.78,399.77,0.62,8.59,2.86,0,4.42,15.54,0,0,0,0,0,35.38,0,0,6.84,3.16,1.22
108-118,0,1.47,0,26.93,0.5,2.96,199.71,0,1.35,1.45,168.76,96.49,0.69,3.21,6.45,8.04,2.26,249.14,0.97,124.32,3.15,3.55,5.19,666.72,5.7,10.95,11.46,0,0,18.34,0,0,0,0.44,0,14.14,0,2.46,4.68,3.02,2.59
120,2.82,7.01,0,19.25,1.63,3.49,202.12,2.98,6.08,0,202.73,38.83,0,2.43,4.13,1.43,0,24.52,0,50.71,0,9.54,5.54,638.4,2.08,3.73,3.01,0,0,1.09,0,0,2.05,0,0,40.1,0,0,3,0,0
