stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,57.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.03,0,0,0,0,25.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.17,0,0,0,14.25,0,7.59,0,6.85,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,8.49,0.98,0,34,0,0,0,7.93,0,0,0,0,0,0,0,0,0,22.28,0,0,7.26,249.02,0,0,3.16,0,0,7.79,3.83,0,21.09,11.13,23.41,0,0,0,0,0
 24-34,0,0,0,9.05,0,0,69.35,2.12,0,0,8.06,0,0,7.07,0,0,0,1.97,0.76,0,73.88,0,0,34.41,624.49,1.94,1.07,2.81,0,0,20.45,0,0,13.6,10.73,59.93,0,0,1.82,0,0
 36-46,0,0,0,2.7,0.81,0,75.32,11.69,0,0,27.15,0,1.6,3.77,0,0,0,0.61,0,0,94.57,0,1.12,13.61,713.18,15.93,0.64,4.43,0,0,10.16,0,0,13.73,1.38,76.7,0,1.04,0,0,0
 48-58,0,0,0,6.32,0,0,106.15,3.66,0,2.27,47.98,0,0,0.79,0,5.67,0.46,0,0,7.3,90.55,0,4.9,34.2,627.76,1.77,0.43,2.04,0,0,7.96,0,0,6.31,0,81.41,0,0.89,3.62,0,0
 60-70,0,0,0,1.37,0,0,415,6.5,0,10.99,46.58,0.68,0,3.33,0,3.34,0,0,0,5.43,135.99,0,10.02,20.26,619.62,0,0,7.27,0,0,20.7,0,0,6.73,0,78.19,0,11.19,2.6,0.61,7.41
 72-82,0,0,0,2.97,0,0,798.66,12.23,0,6.41,42.72,0.49,0,0.99,0.51,0.93,2.31,0.6,0,0,109.95,0,18.19,27.36,737.59,0.53,1.66,5.86,0,0,9.26,0,2.3,3.89,0,71.69,0,12.77,4.95,27.72,0
 84-94,0.62,0,0,8.22,1.59,0.6,464.85,22.69,0,0.93,33.05,1.61,0,1.12,3.05,1.68,1.3,0.67,0,1.05,118.74,0,9.48,26.59,484.44,0,1.05,9.1,0,0,25.86,0,0,6.23,0,45.54,0,26.9,4.66,39.83,10.45
 96-106,0,0,0,7.96,10,0,478.55,16.27,2.85,0.95,29.31,2.65,1.06,2.3,1.51,0.92,0,0.77,0.89,0,90.22,0,4,11.55,637.18,0,0,2.62,0,0,23.63,0,0,1.94,0,14.94,4.93,17.24,2.83,19,9.32
108-118,0,0,0,11.6,1.38,1.4,393.77,8.46,0,1.55,36.17,1.13,0,3.36,3.34,0.67,0.84,1.36,2.8,0,108.43,2.55,1.13,29.1,502.24,0,0,4.76,0,2.52,36.62,0,0,2.05,0,22.1,0.68,29.92,14.73,19.49,0
120,0,0,4.41,23.97,0,0,223.83,12.67,3.95,0,66.78,1.39,0,0,1.85,0,6.44,3.25,0,10.94,107.46,0,24.93,16.39,950.65,1.8,0,12.97,0,0,17.16,1.12,0,5.14,0,44.77,0,5.64,21.57,70.44,0
