stage,epidermis,eye,fin.epithelia,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pericytes,pronephros,spinal.cord,visceral.smooth.muscle
 14-21,1.88,0,0,0,0,2.26,0,1.89,0,0,0,0,1.07,0
 24-34,0,2.49,0,0,0,0,0,4.83,0,0,0,2.35,0,0
 36-46,0,0.72,0,0,0,0,0,5.73,0,0,0,5.25,1.02,0
 48-58,0,0,0.89,0,0,0.52,0,3.24,0,0,0,2.78,0.55,0
 60-70,0,4.15,0,0,0,2.19,0,7.16,1.03,0,1.19,4.78,0,0
 72-82,0,8.09,0,0,0,2.51,0,9.26,0,0.54,1.67,0.63,0.74,0
 84-94,0,4.42,0.77,0,0,0,0,13.12,0,0,2.93,4.43,0,0
 96-106,0,24.47,0,0,2.39,3.68,0,5.07,0,0.87,0,1.61,0,0
108-118,0,18.02,0.45,0.44,0,0,4,7.84,0,0,2.78,1.91,0,2.89
120,0,0,3.23,0,0,17.56,0,18.55,0,0,4.48,7.67,0,9.41
