stage,axial,blastomeres,neural,notochord,periderm,pgc
  3-4,14.43,576.29,0,0,24.5,0
  5-6,13.97,102.24,0,0,7.86,0
  7-9,0,0,17.79,0,0,5.11
 10-12,0,0,0,0,0,11.92
 24-34,0,0,0,1.13,0,0
