stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,6.47,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.36,132.61,0,1.13,0.77,0,0,54.99,0,0,0,2.31
 36-46,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,1.48,0,0.69,335.2,0,0,0,0,0,97.3,0,0,0,0
 48-58,0,0.99,0,0,44.67,0,0,0,6.4,0,0,0.53,0,0.77,9.76,0.46,0.49,591.28,0,0.91,2.77,8.67,0,103.11,0,0,0,0
 60-70,0,0,0.71,0,140.07,0,0,1.96,9.41,0.85,0,0,0,0,12.75,0,1.51,965.91,0,2.05,2.96,1.45,0,106.32,0,0.71,0,0
 72-82,0,3.98,4.25,0,256.03,0.69,0.99,0,15.14,1.8,0.86,0,0,0.67,11.03,0,0,1117.14,0,3.31,0,3.46,0.66,110.61,0,1.23,2.35,0
 84-94,0,8.89,0,0,297.19,0,4.53,0,27.55,0.75,0,0.67,0,0,7.94,4.57,0.83,799.45,0.66,0,0,0.55,0,58.57,0,7.09,0,0
 96-106,0,9.87,0,0,243.41,0.67,0,0,16.45,1.66,0,3,0.99,7.65,5.68,0,0,671.63,0,9.31,1.43,7.23,0,17.55,0,0,11.93,8.78
108-118,1.77,2.41,1.41,0,240.08,1.3,0,0,28.37,0,0,0,0,0,16.3,0,0,820.65,0,0.66,0,2.77,0,43.58,1.6,0,0,0
120,0,37.88,1.1,1.58,361.19,0,0,0,30.47,0,0,0,0,2.19,32.13,0,0,2302.23,0,0,0,8.7,0,54.9,0,0,0,0
