stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,234.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0
  5-6,7.15,420.17,0,0,0,0,0,0,0,0,0,27.43,0,0,0,0,0,0,0,0,0,36.8,0,0,0,8.05,6.57,0,0,0,0,0,0,0
  7-9,22.33,6.25,39.54,0,0,0,34.37,0,0,0,0,26.7,0,0,0,0,0,0,0,0,0,514.04,23.45,0,0,164.68,0,0,0,0,0,0,0,0
 10-12,0,7.8,18.18,0,0,0,30.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.18,8.87,0,0,124.72,0,0,7.08,0,3.51,0,0,0
 14-21,0,0,1.03,13.78,7.57,0,4.6,0,0,0,0,0,1.52,0,1.16,0,0,5.16,0,0,6.2,39.82,2.91,0,1.61,0,5.96,5.43,0,6.69,20.12,0,2.09,0
 24-34,0,0,0,0.59,0,0,4.39,0,2.47,0,1.93,0,0,0,1.95,0,0.63,20.08,0,0,5.15,108.57,0,0,1.78,0,2.32,0,0,0,23.59,0,3.26,0
 36-46,0,0,0,0.6,0,0,6.83,0,2.76,0,7.89,0,0,0,0,0,0,18.45,0.56,0,4.47,70.63,0,0,0,0,13.67,0,0,0,18.23,0,2.3,0
 48-58,0,0,0,0.91,0,0,12.1,0,0,0,11.07,0.75,0,0,0,0,0,18.76,0,0,2.81,40.99,0.71,1.37,0.4,0,0.41,0,0,0,14.21,0,0,0
 60-70,0,0,0,0,1.86,0,8.47,0,0,0,7.59,0,0,0,0.61,0,0,30.92,0,0,1.56,5.28,0,0,0,0,0,0,0,0,1.88,0,0,0
 72-82,0,0,0,1.16,0,0,0,0,0,0.5,7.05,0,0,1.18,0,0,0,36.92,0,1.14,0.53,9.03,0,0,3.13,0,5.97,0,0,0,4.04,0.66,2.77,0
 84-94,0,0,0,0.7,0,0,1.33,0,0,0,1.74,0,0,0,0,0,0,16.89,0,0.95,0,13.67,0,1.17,1.56,0,0,0,0,0,0,0.71,0,0
 96-106,0,0,0,3.02,0,0,0,0,0,0,1.19,0,0,0,0,0.77,0.63,21.38,0,1.41,0,17.18,0,0,0.64,0,6.4,0,0,0,0,0.92,0.93,0
108-118,0,0,0,3.09,0,3.16,0.7,0.69,2.66,0,3.88,0,0,0,0,0,0.86,22.61,0,0,0.68,1.97,0,0.55,0,0,1.7,0,0,0,0,0,0,2.89
120,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,1.67,0,2.13,8.16,0,0,0,9.42,7.32,0,3.59,0,1.28,0,0,0,0,0,0,0
