stage,epidermis,erythrocytes,eye,fin_epithelia,gut,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.23,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.45,0,0
 14-21,0,0,0,0,0,0,0,1.07,0,0,0,0,0
 24-34,0.69,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0.66,0,0,0,0,0,0,0,0,1.37,0,0,0
 48-58,4.81,0,0.64,0,0,0,0,0.6,0,0,0,0,0
 60-70,0,0,6.6,0,0,0,0,0,0,0,0,0,0
 72-82,1.23,0,18.19,0,0,0,0.49,0,0,2.18,0,0,0
 84-94,4.88,0,15.13,0.68,0,1.11,0,0,0,0,0,0,3.88
 96-106,0.56,10.42,138.12,0,1.61,0,0,1.56,0,9.03,0,0,7.03
108-118,3.08,0,71.33,0,0.49,0,0,3.31,0,1.1,0,0,4.04
120,1.92,0,227.53,0,0,0,0,0,2.41,0,0,0,0
