stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0
  5-6,0,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,163.78,5.22,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,196.2,3.41,1.36,0,0,0,0,0,0,0,9.37,4.16,0,0.67,34.72,0,0,0,0,0.6,3.54,0,0.85,0,0
 36-46,0,0,117.85,11.42,6.47,1.09,0.78,0,0,0,0,0,2.18,0.64,0,0,21.33,0,0,0,0,0,0,0,0,0,0
 48-58,0.58,0,142.42,8.72,7.22,0,2.81,0,0,0,0,0,5.94,0,0,0,26.93,0,0,0,0,0,1.34,0,1.44,0,7.23
 60-70,0,0,132.06,4.21,10.9,0,0.88,0,0,0,9.25,0,1.3,0,0,0,26.34,0,0,1.22,3.45,0,0,0.61,3.43,0,0
 72-82,0,0,60.9,4.74,21.43,0,2.16,0,0,0,0,2.67,13.93,0,1.75,0,36.6,0.58,0.54,0,0,0,1.43,0,1.73,0,0
 84-94,0,0,223.98,2.06,29.79,0,0,0,0,1.9,0,0,14.57,1.27,0.57,0,23.63,0.78,0,0,0,0,0,2.02,11.48,3.53,0
 96-106,0,0,184.81,6.05,42.93,0,5.24,0,0,3.57,0,0,25.26,3.09,0.85,0,27.89,0,0,0,1.18,0,0,0,2.38,0,1.4
108-118,0,0,242.15,6.39,58.64,0,2.25,0.71,0.65,1.46,0,0,25.78,0,0,0,20.83,2.23,0,0,7.06,0,0,0,0.65,0,0
120,0,0,189.98,11.11,32.5,0,4.27,4.78,0,0,0,0,14.74,1.15,0,0,50.49,0,0,0,0,0,0,0,6.69,0,0
