stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,77.68,521.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
  5-6,31.92,290.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,0,0,21.83,0,0,10.23,0,0,0,0,3.98,0,0,0,0,0,0,0,196.16,9.27,0,0,69.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.72,0,15.46,27.89,0,0,0,0,0,0,0,0,0,0,0,0,196.25,0,0,0,93.24,0,0,9.25,0,0,0,0,0,0
 14-21,0,0,0,0.98,4.36,1.97,6.79,0,0,1.09,0,0,0,0,0,0,0.92,0,3.69,46.98,0,0,0,0,0,7.01,1.05,3.29,13.16,0,0,0,0
 24-34,0,0,0,0,2.76,0.67,9.08,0,0.74,0.84,0,0,0,0,0,0,3.94,0,3.33,91.14,0,0,4.76,0,0,0,0,0,21.81,0,0,0.82,0
 36-46,0,0,0,0,1.6,0,3.17,0,0,0,0,0,0,0,0,0,2.14,0,0,30.78,0,0,0,0,0,0,0,0,7.77,0,0,0,0
 48-58,0,0,0.54,0,0,0,13.49,0,0,5.29,0,0.37,0.53,0,0,0,2.55,0.45,3.24,46.47,0.49,0.6,0,0,0,0,0,0,10.2,0,0,0.91,0
 60-70,0,0,0,0,0,0,7.18,0,0,1.3,0,0,0,0,0,0,4.93,0,0,35.45,0,0,0,0,0,0,0,0,4.93,0,0,0,0
 72-82,0,0,0,0,0.81,0,23.62,0,0,3.63,0,0,0,0,0,0,15.57,0,0.92,46.61,0,0.67,0,0,0,0,0,0,1.14,0,0,2.87,0
 84-94,0,0,0,0,0,0,4.38,0,0,0,1.05,0,0,0,1.29,0,6.78,1.07,2.14,67.59,0,0,1,0,0,0,0,0,3.75,0.78,2.45,0,0
 96-106,0,0,0,0,0,0,20.61,0,1.9,17.01,0.69,0,0,0,1.03,1.6,18.96,0,2.75,39.46,0,1.03,1.86,0,0.83,0,0,0,0,0,0,0,1.58
108-118,0,0,0,0,5.71,0,12.8,1.12,0.64,1.3,0,0,0,0.42,0,0.62,19.57,0,2.18,23.66,0,0,1.76,0,0,0,0,0,7.83,0,0,3.43,0
120,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0
