stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord
  5-6,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.34,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0
 14-21,0,0.82,0,0,1.25,0,0,4.6,0,0,0,0,0,1.06,0,4.1,0,1.53,4.47,12.18
 24-34,0,0,2.4,0,0,0,0,9.77,0,0,1.23,0,0,8.21,0.63,0,0,0,2.28,7.82
 36-46,0,0,0,0,1.75,0,0,1.6,0,0,0.65,0,0.72,12.78,2.29,12.84,0,0,0,10.24
 48-58,0,0,2.36,0,9.3,0,0,5.72,0,0,0,0,0,8.13,3.74,0,0,0,0,1.22
 60-70,0,0,0,0.62,0,0,1.82,1.27,0,0,0.8,0.68,0,4.47,2.75,4.42,0,0,0,8.67
 72-82,0,0,0,0,0,0.95,0,5.34,0,0,3.85,0,0.58,0,1.05,0,0,0,0,9.15
 84-94,0,0,0,0,0,0,0,1.12,0.95,0,0,0,0,6.56,1.71,3.36,0,0,0,1.08
 96-106,0,0,0,0,0,0,0,0,0,0,9.24,1.62,0,11.82,0,5.14,2.39,0,0,0.94
108-118,0,0,0,0,0,0,0,3.27,0,0,0.67,0,0,1.84,5.75,8.15,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.63,2.11,0,0,0,11.22,3.28,0,0,0,0
