stage,endocrine_pancreas,glial,mesenchyme,neural
 24-34,0,0,1.98,3.29
 36-46,0,0,0,0.79
 48-58,0,0,0,4.7
 72-82,0.83,0.9,0,0
 84-94,0,0,0,6.41
108-118,0,0,0,1.97
