stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.16,38.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,1.09,0,0,18.98,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0,0,6.87,0,0,54.34,6.79,0.65,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.56,0,4.46,0,0,0.75,0,0,1.59,0,0,39.64,0,0,0,0,0
 48-58,0,0,0,0.5,0,0,0,0,0,0.49,0,10.82,0,0,0,0.74,0,0,0,0,27.77,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0.68,2.2,0,3.61,0,0,44.99,0,13.06,0,0,0
 72-82,0,0,0,5.55,4.7,0,0,0,1.09,0,0,36.3,0,0,1.58,4.56,0,2.27,0,0,49.84,0,0,0,0,8.66
 84-94,0,0,0.78,3.1,0,0,0,0,0,0.96,0,26.89,0,0,0,1.3,0,0,0,5.97,80.07,0,0,0,0,0
 96-106,0,0,1.03,16.91,0.82,0,0,1.26,2.7,0.76,0,76.01,0.63,0.7,1.6,1.28,0,11.18,0.85,0.6,203.35,0.6,0,0.67,2.55,0
108-118,0,0,0.65,22.73,0.98,0.76,0,0,0,0,0,80.66,0,1.18,3.21,3.49,1.24,3.94,0,0,106.18,0,0,0,0,0
120,0,0,1.66,12.41,0,0,4.62,0,0,0,0,70.22,0,3.2,3.45,1.46,1.9,0,1.57,0,150.97,0,0,0,0,0
