stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,13.45,141.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,240.48,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,0,0,0
  7-9,0,13.98,11.92,0,0,0,0,6.49,0,0,0,0,0,204.98,0,0,46.69,0,0,0,0,0
 10-12,0,0,0,0,5.97,0,0,0,0,0,0,0,0,101.97,0,0,42.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,2.97,0
 24-34,0,0,0.81,0,0,8.8,0.62,0,0,0,5.43,0,2.48,30.57,0,0,0,0,0,0.74,8.4,0
 36-46,0,0,0,0,0,4.7,0,0,0,0,0.63,0,0,10.64,0,0,0,0,0,0,4.9,0
 48-58,0,0,0,0,0,6.44,0,0,0,1.84,7.99,0,0,29.08,0,0,0,0,0,0,1.42,0
 60-70,0,0,0,0,0,2.02,2.65,0,0.78,0,15.72,0,0,5.25,0,0,0,0,0,0,0,1.03
 72-82,0,0,0,0,0,2.27,0,0,0,0,1.42,1.01,0,4.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.88,0,0.59,1.2,0,0,0,2.72,0,0.58,3.99,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.86,0,0,0,0,0.84,0,0,0.84,0.62,0,0,1.82,0,0,0,0
108-118,0,0,0,0.46,0,1.66,8.26,0,0,0,1.43,0,0,1.13,0,0,0,0,0,0,0,0
120,0,0,0,13.59,0,3.95,36.46,0,0,0,13.18,0,2.99,1.45,0,3.55,0,2.28,1.38,0,0,0
