stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,0,0,0,0,0,0,0
 14-21,0,0,9.23,0,0,0,0,0,0,0,4.29,0,0,0,2.87,1.03,0,0,4.1,2.04,6.81,0,0
 24-34,0.6,0,0,0,0.77,0,0,0,7.67,0,14.39,0,3.81,0,7.32,13.1,0,0,21.59,3.03,82.03,0,0
 36-46,0,0,0,0,1.86,4.15,0,0,2.94,0,16.41,0,8.94,0,1.66,8.2,3.07,1.67,9.43,6.31,38.43,0,10.98
 48-58,0,0,0,0,1.47,0,0,0,3.56,0,23.4,0,4.23,0,0.4,9.94,4.8,0,0.61,2.78,47.57,0,20.5
 60-70,0,0,0,0,16.01,0,0,0.89,6.92,0,43.39,0,3.96,0.89,1.47,15.1,1.73,0,0.73,1.42,16.02,1.06,27.23
 72-82,0,0,0,0.59,3.01,0,0,0,7.44,0.88,44.2,0,12.3,0,1.8,7.39,0,1.39,9.18,4.57,33.25,0,27.36
 84-94,0,0.62,0.57,0,4.79,0,0,0,11.08,0.73,55.15,0,9.44,0,1.1,3.22,1.84,0.81,3.93,0.98,51.36,0,14.26
 96-106,0,0,12.4,0.57,7.75,0,0,4.4,10.98,0,61.36,0,8.23,1.49,0,14.01,5.59,7.2,3.79,1.83,23.5,1.58,42.55
108-118,0,2.5,5.15,16.21,18.03,0,0.88,0,23.16,2.42,51.02,1.25,28.16,0,3.84,12.06,3.63,2.41,8.13,2.35,21.97,0,16.46
120,0,1.31,0,2.94,8.54,0,0,0,24.06,2.75,92.87,0,2.5,0,3.68,3.9,2.96,1.5,8.73,0,33.15,0,22.09
