stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,217.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.71,0,0,0,0,0,0,0,0
  5-6,8.91,146.44,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,38.27,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.96,26.88,0,10.67,0,0,34.77,0,0,0,0,0,0,0,0,0,164.88,28.93,0,53.06,0,0,0,0,0,0,0,0,0
 10-12,0,8.35,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,223.23,0,0,57.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.78,0.89,0.87,0,0,0,0,0,0,0,0,0.84,13.01,0,0,0.82,1.61,0,1.09,0.94,0,1.4,5.79,0,0
 24-34,0,0,0,0,0,1.84,2.75,0,0.7,0,1.55,0,0,0,0,3.41,40.82,0,0,0,0.71,0,0,0,0,0,7.55,0,0
 36-46,0,0,0,0,0,0,3.57,0,0,0,3.64,0,1.4,5.31,0,0.57,56.68,0.66,0,0,0,0.81,0,0,0,0,10.74,0,0
 48-58,0,0,0,0,0,0,11.43,0.81,0,0,1.2,0.39,0,1.75,0,0.37,31.4,0,0,0,0,0,0,0,0,0,2.68,0,0.75
 60-70,0,0,0,0,0.58,0,10.69,0,0,0,6.09,0,0,0.74,0,0,30.87,0,0,0,0,0,0,0,0,0,9.3,0,0
 72-82,0,0,0,0,0.83,0,22.66,0,0,0,0.64,0,0,2.54,0,0,19.83,0,0,0,0,0,0,0,0.55,0,6.12,0.56,1.63
 84-94,0,0,3.52,0,0,2.9,5.23,0,0,0.75,3.44,0,0,3.23,0,1.74,10.92,0,0,0,1.09,0,0,0,0,0,2.07,0,0
 96-106,0,0,0,0,0,0,0.96,0,0,0,0,0,0,4.48,0,0,15.2,0,0,0,1.04,0,0,0,0,0,1.64,0,0
108-118,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0.61,0.83,0,18.35,0,0,0,0.43,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.16,0,0,0,3.24,0,4.72,0,0,0,38.59,0,2.28,0,0,0,0,0,0,0,0,0,0
