stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.36,1.34,94.88,19.28,32.6,0,0.95,0,6.45,2.92,1.81,0,0,0,0,0,52.61,0,0,68.87,117.1,26.67,4.13,5.69,8.74,0,0,94.25,0.94,5.69,121.63,24.85,0,0,0,0,0
 24-34,0,0.67,26.64,4.73,28.55,4.65,16.65,21.54,1.75,0,1.77,0,0,0,0.65,0,138.21,0,0,116.39,156.35,17.25,3.82,8.64,10.77,0,18.21,0,0,0.66,44.54,23.06,0,0,7.3,0,1.99
 36-46,0,0,17.71,0,13.95,9.82,41.81,84.75,2.63,0,4.98,0,0,0,1.41,0,178.91,0,1.72,67.91,82.04,16.78,2.78,2.4,0,0,31.49,0,13.52,0,1.34,17.35,0,0,0,0.78,7.37
 48-58,0,0,16.54,0,20.41,0.63,39.29,110.14,4.04,0,12.05,0,0,0.54,2.37,1.02,275.58,0,9.01,54.83,147.35,7.48,0,15.47,0,0,18.85,0,0.37,0,0,4.24,0,1.25,7.15,0,0.93
 60-70,0,0,28.88,0,33.69,3.63,57.57,88.87,4.03,0,3.93,0,3.07,1.26,5.87,2.74,366.85,1.09,21.45,32.02,32.16,0.63,0,16.94,0,3.15,11.89,0,3.99,0,0,18.26,0,4.08,6.77,11.38,0
 72-82,0,0,10.47,0,37.64,3.98,18.86,125.72,5.89,1.19,14.82,0.6,0,0,0,0,407.7,0,30.93,43.61,50.66,1.41,0,15.37,0,0.84,18.15,0,0,0,0,2.47,1.69,13.63,5.25,12.12,0
 84-94,0,0,7.36,0,30.43,8.82,26.39,68.41,0,3.13,4.63,0.71,0.8,0,0,0,347.89,0,21.52,49.91,5.33,4.01,0,22.16,0,3.75,7.82,0,0,0,0,0,1.57,8.5,1.24,39.06,0
 96-106,0,0,5.28,0,18.04,2.89,16.09,39.29,5.58,3.05,6.13,0,0.56,0,0,7.43,202.04,0,8.74,37.04,40.03,0.61,0,11.7,0,5.58,4.51,0,0,0,0,0,0,2.91,0,11,0.6
108-118,0,0,7.63,2.17,19.51,4.17,16,40.3,12.47,0.43,4.57,0,1.7,0.42,0,0.42,242.92,0,4.14,26.48,37.81,3.55,0,25.79,0,9.38,8.55,0,1.25,0.69,0,0,0.9,0,0.62,6.57,0
120,0,0,2.32,10.45,20.94,13.82,20.77,144.58,12.41,5.75,3.24,0,0,0,0,0,277.54,0,33.28,33.21,52.85,10.12,0,59.05,0,18.95,8.17,0,0,0,0,0,0,15.22,0,17.22,0
