stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,54.05,0,0,0,0,0,0,0,0
  5-6,34.47,99.61,0,0,0,53.5,0,0,8.42,0
  7-9,44.53,10.81,55.71,0,49.82,60.67,0,47.54,0,0
 10-12,0,0,24.48,3.17,9.63,277.49,5.62,44.16,0,4.33
