stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,806.01,18022.08,0,0,0,0,0,0,0,0,0,0,0,0,0,344.89,0,0,0,0,0,0
  5-6,708.3,3767.48,0,0,0,0,0,50.92,0,0,0,224.45,0,0,0,22.53,0,0,0,0,0,0
  7-9,33.12,227.91,1457.53,0,0,195.39,0,165.63,0,0,0,5785.42,4.16,0,273.95,0,0,0,0,0,0,0
 10-12,0,415.12,446.1,0,0,47.96,0,27.65,0,0,0,12713.57,27.1,0,485.65,0,10.67,24.15,0,0,0,0
 14-21,0,0,0,20.4,3.97,3.08,7.47,0,1.15,18.64,1.28,3502.7,6.66,0.88,0,0,211.48,0,0,26.37,142.94,0
 24-34,0,0,0,2,0,9.18,0,0,0.67,5.64,0,780.31,2.24,0,0,1.05,2.17,0,1.55,4.18,10.81,0
 36-46,0,0,0,0,0,3.72,1.1,0,0,0.8,0,130.42,0,0,0,0,0,0,0,0,3.03,0.75
 48-58,0,0,0,0,0,0,0,0,0,0,0.53,86.36,0,0,0,0,0,0,0,0,4.89,0
 60-70,0,0,0,0,0,3.29,2.77,0,0,0,0,30.13,0,0,0,0,0,0,0,0,13.55,0
 72-82,0,0,0,0,0,14.83,0,0,0,0.63,0,17,0,0,0,0,0,0,0,0,7.83,0
 84-94,0,0,0,0,8.48,4.41,1.12,0,0,0,0,31.09,0,0,0,0,0,0,0,0,3.94,0
 96-106,0,0,0,0,0,20.99,5.77,0,0,0,0,21.52,0,0,0,0,0,0,0,0,4.97,0
108-118,0,0,0,0,0,3.44,1.63,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
120,0,0,0,15.08,0,6.82,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0
