stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0
 14-21,1.3,21.58,0,0,0,0,0,0,0.94,0,6.7,0,0,0,0,0,0,0,59.2,0,0,0,0,0
 24-34,0,37.4,0,0,2.53,0,0,0.85,0,0,8.98,0,0,0,1.95,3.89,0.67,0,177.87,2,2.11,0,0,0
 36-46,0,41.73,0,0,7.64,0,0,0,0,0,3.46,0,0,0.83,2.47,8.35,0,0,268.29,0,3.74,0,0,0
 48-58,0,18.81,0,1.89,9.65,0,0,0,0,0,1.77,0.38,0,0.44,0,9.38,0,0.87,126.25,0,10.38,0,0,3.75
 60-70,0,42.82,0.67,4.93,22.93,0,0,0.81,0,0.78,3.23,0,0,0,0,11.46,0,0,113.7,0,0,0,0,0
 72-82,0,20.33,2.92,3.43,22.68,0,0,1.97,0.65,0,5.86,1.62,0,0,4.54,3.31,0,0.74,97.08,0,2.85,0,0,3.44
 84-94,0,56.05,0,0,21.6,0,0,6.18,0.91,0,16.44,5.33,2.05,2.73,6.74,11.42,0,1.66,290.77,0,0,1.53,0,0
 96-106,0,32.43,0.98,6.08,18.65,0,2.51,3.35,0,0,11.22,1.49,0,0,2.9,6.72,0,1.03,253.65,0,0,0,6.54,0
108-118,0,58.87,0,0.43,22.42,0.73,0,4.05,0,0,13.6,13.65,0,5.43,9.96,6.15,0,0.87,269.52,0.48,0,0,0,0
120,0,53.72,0,14.43,26.75,0,0,1.53,0,1.38,13.9,4.79,0,0,1.46,3.8,4.62,5.25,144.32,0,0,0,0,0
