stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.32,199.26,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.49,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,11.13,0,0,16.76,0,0,0,0,0,0
 10-12,0,0,0,5.05,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,3.7,0,0,0,0,1,0,0.92,0,0,0,0,0,0,0.87,0,0,1.42,0,0,0,0,2.2,0,0,0.82,0,0
 24-34,0,0,0.67,0.84,5.63,0,4.27,0,0,0,0,0,0,4.51,0,0.86,0,0,3.86,0,0,21.32,1.43,0,1.43,0,10.45,0,0,2.05,0,0
 36-46,0,0,0,0,3.76,0,1.14,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,18.05,0,1.42,0,0,9.08,0,0,6.49,0,2.41
 48-58,0,0,0,0,7.96,0,5.57,0.87,0.72,0,0,0,0,0,0,0,0,0.6,5.97,0,1.02,26.84,0,0,4.59,0,1.6,0,0,4.63,0,0
 60-70,0,0,0,0,7.09,0,2.09,0,2.63,0,0,0,0,0,0,0,0,0,1.87,0,0,29.53,0,1.1,4.04,0,8.73,0,0,3.99,1.31,0.7
 72-82,0,0,0,0,3.13,4.94,0.78,0,2.99,1.68,0.55,0,0,3.2,0,0,0,0,4.13,0.74,0,46.61,0,0.6,1.18,0,2.07,0,0,7.63,0,0
 84-94,0,0,0,0,0.58,0,10.9,0,7.49,0,0,0,0,0,0,0,0,0,4.29,0,4.74,20.71,0,0,1.44,0,5.79,0,9.21,0,0,0
 96-106,0,0,0,0,5.86,0,10.23,0,0,1.58,0,0,0,0,0,1.92,0,0,3.18,1.98,0,10.81,0,1.28,3.09,0,16.74,0,0,0,0,0
108-118,0,0,0,0,3.89,0,3.85,0,0,1.36,0,0,0.58,0,0.63,0,1.83,0,2.09,3.37,1.11,8.03,0,0,1.07,0,4.81,0.72,0,0,0,0
120,0,0,0,0,3.96,0,5.61,0,8.49,2.42,0,0,0,0,0,0,0,0,5.11,0,0,4.07,0,0,0,0,7.1,0,0,0,0,1.7
