stage,blastomeres,epidermis,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,67.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.66,0,0,0,41.45,0,15.5,0,0,0
 10-12,0,0,9.93,0,0,0,0,0,33.78,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.05,0,0,0,1.01,0
 24-34,0,0,0.73,0,0,0,0.65,0,1.06,0,0,0,0,3.14
 36-46,0,0,0.76,0,0,0,0,0,2.92,0,0,0,0,0
 48-58,0,0,2.17,0,0,0,0,0,0.97,0,0,0,0.74,0
 60-70,0,0,0,1.48,0,0,0,0.67,1.75,0,0,0,2.75,0
 72-82,0,0,0,0,0,1.02,1.67,0,1.89,4.72,0,1.31,0,0
 84-94,0,0,5.5,0,0,0,1.21,0,0,0.95,0,0,0,0
 96-106,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0
