stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.07,860.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.86,0,0,0,0,0,0,0,0,0,0,0
  5-6,114,962.89,0,10.26,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,31.69,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,46.21,7,0,6.05,0,0,24.47,0,0,0,0,18.22,0,0,0,0,0,0,0,0,0,0,0,378.75,20.41,0,0,138.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.69,0,17.1,0,11.01,8.19,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,468.32,12.75,0,0,154.35,0,0,0,0,22.07,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,1.92,13.52,4.21,3.06,0,0,11.73,1.58,0,0,0,1,0,0,0,0,2.73,0,0,5.49,182.16,0,3.06,3.46,3.85,0,0,1.8,2.14,11.01,0,4.99,62.65,0,0,0,0,0
 24-34,0,0,1.29,0,6.49,0,32.6,1.14,0.61,9.68,0,0,0,0,0,0,0,1.43,0,15.16,0,0,7.69,468.6,0.62,13.48,4.54,0,0,0,0,0,0,0,1.27,97.05,0,0,2.04,0,0
 36-46,0,0,0,0,6.33,0,87.15,0,1.19,23.89,0,0,2.25,0,0,0,1.98,0,0,31.02,0,0.7,2.88,709.71,0,14.48,3.95,0,0,0.95,0,0,0.72,0,0,99.07,0,0,0.87,0,9.36
 48-58,0,0,0,0,3.66,0,175.21,0,0.49,42.62,0,0,0,0,0,0,2.38,0,0,46.12,0,1,5.96,563.65,0,0.42,3.54,0,0,0,0,0,0.38,0.73,0,112.55,0,0,0.52,0,1.17
 60-70,2.52,0,0,0,0.6,0,277.43,0,0,40.5,0,0,0,0,0.6,0,8.39,0,0,63.59,0,1.68,4.56,507.64,0,4.67,0.84,0,0,0,0,0,1.17,0,0,43.03,0,0,5.76,0,0
 72-82,0,0,1.07,0,5.59,0,128.36,2.88,0,19.85,0.65,0,5.32,0,0.62,0,1.84,0,0,54.59,0,2.66,1.7,290.25,0,4.89,10.27,0,0,0,0,0,0,0,0,20.55,1.44,0.78,1.89,1.99,11.24
 84-94,0,0,0,0,8.09,0,89.41,0,0,31.02,0,0,1.06,0.98,0,0.62,2.34,0,1.96,39.18,0,2.54,1.53,186.8,0,4.9,4.79,0,0,2.98,0,0,0,0,0,15.55,0.81,3.17,3.21,0,0
 96-106,0,0,5.96,0,3.42,0,45.65,0.59,3.35,21.42,0,0,0,0.72,0,1.04,3.16,0,0,35.67,1.42,1.09,1.51,137.12,0.69,5.87,7.09,0,5.34,1.65,0,0,1.37,0,0,5.84,0,0,0.6,1.1,1.06
108-118,0,0,0,0,8.41,0.54,96.95,0,0,18.78,0,0,0,0,0,2.91,3.14,0.48,3.35,44.91,0,2.05,1.27,152.25,0,2.99,8.09,0,0,1.53,0,0,0.61,0,0,0,1.29,0,0.74,0,0
120,0,0,0,0,1.78,0,42.67,0,1.61,27.63,1.68,0,0,0,0,3.12,0,0,0,41.97,0,0,0,269.5,0,21.07,4.87,0,0,1.05,0,0,4.05,0,0,3.65,0,0,0,1.43,0
