stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,22.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.16,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.93,4.44,0,0,26.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,109.38,7.14,0,0,16.33,0,0,3.14,0,0,0,0,0,0
 14-21,0,0,3.48,0,2.46,0,0,0,0,0,0,0,0,0,0.81,0,0.9,16.03,0,0,0,0,0,0,0,0,8.26,0,0.83,0,0
 24-34,0,0,1.3,0,7.95,0,0,0,0,0,0,0,0,0.92,1.45,0,1.03,64.77,0,1.76,2.48,0,0,0.83,0,0.77,8.9,0,1.71,0,0
 36-46,0,0,4.21,0,7.69,0,0,1.8,0,0,0,0,0,0.7,5.46,0,3.48,49.6,0,0.91,17.76,0,0,1.93,0,0,13.16,0,1.33,0,0.85
 48-58,0,0,2.71,0,23.72,0.55,0,6.43,0,0.82,0,0,0,0,4.47,0,0.46,62.94,0,1.76,3.74,0,0,1.47,0,0,13.05,0,0.58,0,0
 60-70,0,0,0,0,58.14,0,0,11.8,0,0,0.82,0,0,0,29.57,0,1.96,75.49,4.33,0,1.26,0,0,1.26,0,0,12.73,0,0,0,0
 72-82,0,0,1.64,0,31.44,0,0,3.78,0.97,0,0.53,0,0,0,11.77,1.09,0.76,37.51,0,1.22,5.63,0,1.1,0,0,0,4.76,0,0.72,1.39,0
 84-94,0,0,0,0.8,16.28,0.63,0,10.42,0,0,0,1.54,0,0,17.72,10.29,0,40.75,0.57,0,3.94,0,0,0.58,0,0,3.19,0,3.57,0.63,0
 96-106,0,0,0,0,22.95,0,0,9.35,0,0,0.75,0,0,0,9.81,3.48,1.03,34.86,0,0,0,0,0,1.61,0,0,0,0,0.73,3.77,0
108-118,0,0,1.44,0.44,30.3,0.61,0,10.49,0,0,2.37,0,2.94,5.81,12.3,6.15,1.8,38.64,0,1.25,0.48,0,0,1.11,0,0,0,2.14,0,1.09,0
120,0,0,0,1.49,0,0,1.56,4.62,0,2,0,0,0,0,52.96,0,0,39.3,0,2.28,0,0,0,0,0,0,0,0,5.89,0,0
