stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,34.45,98.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,219.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.97,0,0,0,0,0,0,0,0,71.99,0,0,0,11.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.3,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,132.5,3.39,0,0,39.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1.17,4.4,0,0,1.18,0,1.58,0,0,0,0,0.94,7.43,0,2.92,57.23,1.61,0,1.09,0,3.67,5.32,0,6.02,11.6,0,0,0,0
 24-34,0,0,0.71,0,1.52,1.27,1.38,0,0,0,0,0,0,0,0,0,0,6.7,0,1.43,63.34,0,3.38,1.48,0,2.68,0,0,0,13.7,0,0,0,0
 36-46,0,0,0,0,1.53,0,9.83,0,0,3.58,0,0,0.73,0,0,0,0,4.03,0,2.05,61.34,0.58,0,0,0,0,0,0,0,10.1,0,0,1.21,0
 48-58,0,0,0,0,2.55,0,19.55,0,0,3.72,0,0,0,0,0,0,0,8.23,0.4,1.67,43.91,0,0,0,0,8.43,0,0,0,8.48,0,0,1.48,0
 60-70,0,0,0,0,0,0,21.31,0,0,10.52,0.63,0,0,3.75,0,0,0,8.11,0,0.72,43.26,0,0,0,0,3.3,0,0,0,5.48,0,0,0,5.81
 72-82,0,0,0,0,3.46,0,19.64,0,0,0.58,0,0,0,0,0.58,0,0,12.1,1.21,2.52,50.54,0,0,0,0,0,0,0,0,4.61,0,0,0,0
 84-94,0,0,0,0,0,2.75,15.24,0,0,2.78,0,0,0,0,0,0,0,2.58,0,3.85,30.5,0,0,0,0,3.66,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,15.47,0.9,0,6.49,0,0,0,0,0.86,0,0,15.54,1.34,2.11,22.96,2.25,0.87,0.61,0,0,0,0,0,1.53,0,1.21,1.07,0
108-118,0,0,0,0,1.69,0.9,22.2,3.69,1.75,2.09,1.26,0,0,0.91,0,1.61,0,11.88,0,0,62.63,0.98,0,1.92,0,0.53,0,0.44,0,0,0,0,0.81,0
120,0,0,0,0,1.57,0,2.66,0,0,3.47,0,0,0,0,0,2.11,0,10.06,0,0,48.77,0,0,0,0,2.1,0,0,0,0,0,0,0,0
