stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0
 14-21,0,11.48,0,0,0,0,0,0,1.61,0,0,0.85,0,0,0,0,0,0,0,0,0,17.22,0,0,0,0,0,0,22.23,0,0,0,0,0
 24-34,0,14.35,0,0,1.57,0,0,0,0,0,0,1.37,0,0.78,0,0,0.83,5.24,0.69,0,2.67,198.79,0,17.31,1.55,0,0,2.03,129.92,0,0,0,0,0
 36-46,0,35.68,0,0,23.87,0,0.89,0,2.93,0,0,0,0,0,0,0,0,9.02,0.99,0,0,420.08,0,33.19,13.52,0,0,0.74,223.85,0,0,4.57,0,13.75
 48-58,0,30.64,1.99,0,44.81,0,1.44,0,6.34,0,0,0.82,0,6.13,0.4,2.56,0,9.72,7.22,1.68,0,481.52,0,23.16,4.79,0,0,0,142.58,0,0,0.43,0,12.55
 60-70,0,16.62,0,0,177.13,0,5.98,0,22.99,0,0,0,0,0,0,0,0,14.83,4.86,0,0,1288.46,0,23.88,6.54,0,0,2.43,224.84,0,0,0,0,82.84
 72-82,0,19.09,4.24,0,376.07,1.1,1.32,0,30.56,1.28,0,0,4.74,0,0.79,0,0,25.43,16.11,0,0.92,1973.14,0,38.61,4.61,0,0,4.3,163.29,0,0,2.79,0,40.28
 84-94,0,9.33,0,0,337.01,0,3.25,8.29,28.7,0,0.86,0,0,0,0,1.17,0,13.12,6.24,0.94,0,1448.06,0,25.88,24.44,0,0,6.31,100.08,2,0,0,0,39.32
 96-106,0,10.09,6.92,3.72,422.21,0,1.45,0,93.89,3.7,0,0,1.45,0,7.34,0,1.26,24.61,5.25,0,1.38,1792.04,0,43.11,29.37,0,0,19.95,96.92,7.69,0.78,3.12,3.69,61.46
108-118,0.91,38.36,1.07,0,537.13,1.96,1.52,0,84.74,4.31,0,0,0,0.71,8.63,3.07,1.68,37.22,3.28,0,2.71,2818.07,0.69,21.07,11.69,0,2.83,1.4,88.21,14.68,0,1.64,4.18,27.7
120,0,27.51,5.47,0,524.1,2.29,4.25,0,162.27,3.03,0,0,5.72,0,5.18,9.71,0,59.92,0,0,7.49,4075.29,1.87,19.32,9.85,0,0,5.1,168.67,5.59,0,28.95,0,1.1
