stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,285.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,317.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,18.26,0,0,0,0,0,51.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.62,0,0,0,40.06,0,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.6,0,0,0,28.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.42,0,0,0,38.63,0,0,0,10.73,0,0,4.47,0,0,0,0,0
 14-21,0,0,3.73,1.77,0,0.81,0,2.99,0,0,0,0.84,0,0,0,0,0,0,0,0,0.93,0,0,2.79,326.08,0.89,6.64,0,2.4,0,4.46,0,0,0,0,143.46,0,0,0,0,0
 24-34,0,0,4.74,1.03,5.56,0,0,49.99,0,0,0,3.3,0,2.24,0,0,0,0.66,0,0.69,8.45,1.03,0,9.66,3513.98,0.83,91.47,0,0,0,1.24,0,0.76,1.54,0.67,635.18,0,0,13.63,0,0
 36-46,0,0,1.03,0,10.38,0,0,437.94,0,0,0,33.44,0,0.65,0,0,0,0,7.26,9.06,25.67,0,0,3.11,9016.09,0,80.59,1.57,0,8.6,15.5,0,0,0,0,1406.36,0,0,2.53,0,2
 48-58,0,0,0.44,0,38.48,0,0,1290.77,3.49,2.48,0.58,139.69,0,2.22,10.21,7.23,14.76,0.39,7.23,6.42,35.4,6.1,0,23.73,10954.63,8.7,50.21,2.51,0,0,18.38,0,0.73,0.4,0,1831.06,0,0,2.64,0,6.22
 60-70,0,0,1.52,0,9.52,0,0,2120.09,1.92,9.08,0.64,83.81,5.72,0,1.97,0,4.06,4.64,1.05,7.12,47.41,1.1,7.5,6.26,10092.01,12.41,36.12,1.42,0,1.19,17.2,0,3.95,0,0,1614.64,0,0.71,1.72,0,29.5
 72-82,0,0,8.35,0,44.27,4.92,0,1803.75,1.61,4.54,0.94,75.15,1.59,1.41,7.51,0.59,2.96,0,0,0.57,80.32,0,3.01,5.28,7384.07,0.56,43.87,3.33,0,3.19,6.73,0,0,0,0,845.44,0.67,1.51,6.66,6.68,0
 84-94,0,0,10.26,0,41.72,2.81,0,1167.83,0,11.61,2.32,82.08,0,0,2.16,0,1.34,0,1.61,0,58.32,0,2.84,2.83,4584.06,1.28,25.71,4.45,0,0,3.54,0,1.12,0,0,523.09,0.55,0,2.11,0.71,13.39
 96-106,0,0,7.42,0,22.25,5.67,0,913.56,0.93,0.64,0,81.74,2.91,1.98,0.72,0.66,0,0.84,0.62,0,78.07,0,0,2.34,3508.3,0,47.05,2.45,0,2.32,4.63,0,0,0,0,162.85,1.96,3.58,2.48,1.24,0
108-118,0,0,1.55,0,47.92,0.94,5.59,1006.95,0.56,0,2.1,60.43,1.33,0.56,1.01,0,1.13,0,1.66,0,63.68,0,0,1.98,4521.28,0.6,44.32,0.91,0,4.46,5.74,0,1.69,0,0,261.96,1.37,1.8,3.24,1.77,0
120,0,0,8.73,0,28.47,5.75,0,755.04,0,7.49,19.12,44.09,1.38,0,2.36,8.51,0,0,0,0,63.48,0,0,5.17,4569.53,9.59,30.64,0,0,5.29,15.95,0,0,0,0,110.06,7.52,1.54,3.68,0,0
