stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,3.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.45,68.25,0,0,89.86,0,0,5.64,0,0,13.26,0,0,0
 14-21,0,1.8,1.21,0,0,0,1.51,0,0,0,0,0,0,6.24,3.71,27.88,1.13,0.96,0,0,0,11.05,0,1.33,18.96,0.92,0,0
 24-34,0,15.65,0,0.6,1.37,0,0,0,0,0.71,0.89,0,0,0.64,10.77,5.52,0.84,3.37,0,0,0.7,0,0,0,2.56,2.67,0,0
 36-46,0,13.63,0,0,0.79,0.6,3.38,2.1,0,0,0,0,0,0,7.31,19.14,0,1.46,0,0,0,0,0,0,0,3.54,2.47,0
 48-58,0,18.75,0,0,0.94,0.75,3.15,0,0,0.95,1.79,0,0,0,3.59,2.69,0,3.42,0,0,0,0,0,0,0,4.32,0,0
 60-70,2.79,8.03,0,1.01,0.87,0,6.05,3,0,0,6.08,0,0,0,0.78,1.72,0,1.72,0,1.22,0,0,0,0,0,3.64,0,0
 72-82,0,3.5,0,0,0.64,0,8.63,0,0,0.51,4.54,0,0,0,8.7,0,0,0.79,0,0,0,0,1.23,0,0,1.14,2.28,1.37
 84-94,0,9.18,0,4.92,2.3,0.74,8.99,0,0,1.52,1.67,1.19,1.77,0,3.68,0,0,0,0,0,0,0,0,0,0,2.5,0,0
 96-106,0,7.7,0,1.1,0,0,3.03,0,0,1.69,1.42,0,0,0,2.75,2.3,0,2.52,0,0,0,0,0,0,0,3.94,0,0
108-118,0,18.72,0,1.5,2.62,0,2.9,0,0.89,1.31,2.56,0,0,0.54,6.27,0.9,0,3.64,0,0,0,0,0,0,0,1.23,0,0
120,0,4.45,0,11.12,0,1.56,2.4,0,0,9.45,0,0,0,0,0,10.25,0,1.34,0,0,0,0,0,0,0,1.34,0,0
